section,parent,paid,share_of_all,type,employees,hq,evidence,payees_on_990,employee_source,notes,eric_ok
1: $1M+,"Seefried Industrial Properties, Inc.",17205000,1.47%,site_development,<100,GA,C,SEEFRIED DEVELOPMENT MANAGEMENT INC | SEEFRIED DEVELOPMENT SERVICES INC,https://www.linkedin.com/company/seefried-industrial-properties-inc- | https://www.linkedin.com/company/seefried-industrial-properties-inc-; https://www.crainscleveland.com/article/20170720/news/170729980/amazon-may-stake-claim-old-randall-park-mall-site,"Seefried is a privately held Atlanta industrial developer (founded 1984 by Ferdinand Seefried) with roughly 58 employees per LinkedIn; it built Amazon's Ohio fulfillment centers, including the Akron Rolling Acres site named in JobsOhio's 2019 release. The FY2021 grant is site money for an Amazon building, so the beneficiary tenant was Amazon, not a small company. | Seefried is a privately held Atlanta industrial developer (founded 1984) with a few dozen employees (about 36 per directory data); i",
1: $1M+,Case Western Reserve University,15000000,1.28%,university,5000+,OH,B,CASE WESTERN RESERVE UNIVERSITY,https://www.univstats.com/staffs/case-western-reserve-university/; https://case.edu/ir/cwru-facts/faculty-and-staff-facts,"IPEDS-derived counts show about 1,485 faculty and 4,766 non-instructional staff (about 6,250 total) in 2023; Form 5500 shows 5,852 participants in 2023, consistent with 5,000+. Private nonprofit university in Cleveland, founded there (Western Reserve College 1826, Case School 1880). Grants likely tied to the Cleveland Innovation District.",
1: $1M+,Cleveland State University (State of Ohio public university),15000000,1.28%,university,500-4999,OH,C,CLEVELAND STATE UNIVERSITY,https://www.univstats.com/salary/cleveland-state-university/; https://en.wikipedia.org/wiki/Cleveland_State_University,"IPEDS-derived counts show roughly 1,200 faculty and 1,000 administrative staff (about 2,300 total; a narrower count gives 1,369). Public university established in Cleveland in 1964. Grants likely tied to the Cleveland Innovation District; no JobsOhio metrics row matched.",
1: $1M+,Cleveland-Cliffs Inc.,14000000,1.19%,business,5000+,OH,A,IRONUNITS LLC,https://www.sec.gov/Archives/edgar/data/0000764065/000076406520000041/clf-2019123110xk.htm; https://www.sec.gov/Archives/edgar/data/764065/000076406521000084/clf-20201231.htm,"IronUnits LLC is the Cleveland-Cliffs subsidiary that owns the Toledo HBI plant (130 permanent jobs). Cliffs' FY2019 10-K reports 2,372 employees at Dec. 31, 2019 (500-4999 for the FY2019 grant), then about 25,000 after the AK Steel and ArcelorMittal USA acquisitions in 2020, so the FY2020 and FY2022 grants fall in 5000+. Cleveland-based since 1847.",
1: $1M+,Nationwide Children's Hospital,13500000,1.15%,business,5000+,OH,B,ANDELYN BIOSCIENCES INC | THE RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,https://en.wikipedia.org/wiki/Nationwide_Children%27s_Hospital,"Andelyn is a for-profit gene-therapy contract manufacturer spun out of Nationwide Children's clinical manufacturing group in 2020 and wholly owned by the hospital, which has about 11,900 employees; Andelyn itself committed 170 jobs and JobsOhio gave a $5M R&D Center Grant plus a Growth Fund loan for its 185,000 sq ft Columbus plant. On its own Andelyn would be 100-499; the bucket follows the ultimate parent rule. | The Research Institute is a 501(c)(3) arm of Nationwide Children's Hospital in Co",
1: $1M+,Cincinnati Children's Hospital Medical Center,12500000,1.07%,hospital,5000+,OH,B,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.cincinnatichildrens.org/about/corporate/facts-figures,"Ohio Major Employers report (Dec. 2022) lists Cincinnati Children's at 17,204 Ohio employees; Form 5500 shows 20,344 participants in 2019 and 27,933 in 2023. Nonprofit 501(c)(3) pediatric system founded in Cincinnati in 1883. JobsOhio metrics classify the $32M commitment as 'Other Loan'.",
1: $1M+,FirstEnergy Corp.,12408019,1.06%,business,5000+,OH,A,FirstEnergy Generation LLC,https://stockanalysis.com/stocks/fe/employees/; https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/fe-12312017x10k.htm,"FirstEnergy Generation LLC was a wholly owned subsidiary of FirstEnergy Solutions, itself a subsidiary of Akron-based FirstEnergy Corp. (about 15,600 employees at end of 2017 per the 10-K). The $12.4M is the JobsOhio revitalization loan for cleanup of the retired R.E. Burger coal plant site in Belmont County, later forgiven and reported by Ohio Capital Journal; FES entered bankruptcy in 2018 and became Energy Harbor in 2020.",
1: $1M+,"PTT Global Chemical Public Company Limited (PTTGC), majority-owned by PTT Plc",11451981,0.98%,business,5000+,Thailand,C,PTTGC AMERICA LLC,https://www.zoominfo.com/c/ptt-global-chemical-public-company-ltd/347530219; https://www.theintelligencer.net/news/top-headlines/2022/03/ptt-global-pays-jobsohio-20m-for-failing-to-move-on-belmont-county-cracker-plant/,"PTTGC America is the US arm of Bangkok-listed PTT Global Chemical (5,000-10,000 employees per directory data; PTT Plc, the Thai state oil company, holds the controlling stake). Partner Daelim (South Korea) withdrew in 2020. JobsOhio grants funded Belmont County cracker-site work; PTTGC repaid $20M in 2022 after failing to reach a final investment decision.",
1: $1M+,"Fuyao Glass Industry Group Co., Ltd.",10600000,0.90%,business,5000+,China,B,Fuyao Glass America Inc,https://www.daytondailynews.com/news/breaking-news/fuyao-set-double-hiring-moraine-plant-500-jobs/XIW2hI9dJ3w0Rw5Uw8KVnL/; https://www.dnb.com/business-directory/company-profiles/fuyao-glass-industry-group-co-ltd.698fe3f436b3635a6dea9ede7d781e50,"Fuyao Glass America is the Moraine, OH subsidiary of Fuyao Glass Industry Group, Fuqing, Fujian, China (Shanghai/Hong Kong listed; about 18,000 employees worldwide per Dayton Daily News in 2016 and about 26,000 per D&B). The Moraine plant alone grew past 2,000 workers by 2017; Form 5500 participants rose from 233 in 2015 to 3,729 in 2019. JobsOhio grants: $5.6M for 800 jobs, $4M workforce, $6.6M for the 2016 expansion.",
1: $1M+,General Electric Company (GE Aerospace),10091471,0.86%,business,5000+,MA,A,GENERAL ELECTRIC COMPANY,https://www.ge.com/sites/default/files/ge_10k_02022024.pdf,"GE's FY2023 10-K reports about 125,000 employees at Dec. 31, 2023 (283,000 at end of 2018), headquartered in Boston, MA during FY2018-2023; after the April 2024 spin-offs GE Aerospace moved the HQ to Evendale, OH, so the FY2024 grant went to an Ohio-headquartered parent. The R&D grants go to GE Aviation/Aerospace in Evendale (6,450 retained jobs). GE was founded in New York in 1892.",
1: $1M+,Petmin (Pty) Ltd,10000000,0.85%,business,500-4999,South Africa,C,PETMIN USA INC,https://www.petmin.co.za/somkhele.php; https://www.miningreview.com/top-stories/petmin-announces-r350m-bbbee-deal-for-somkhele-anthracite-mine/,"Petmin USA is the subsidiary of Johannesburg-based Petmin, a private mining company (delisted from the JSE in 2017 after a private-equity-backed buyout) whose Somkhele anthracite mine employs roughly 1,000-1,600 people per company and trade-press sources. JobsOhio paid $5M economic development plus $5M revitalization for the $474M Ashtabula pig-iron plant, promised 110 jobs; the plant was still not built as of 2024, and no audited headcount for 2020 was found.",
1: $1M+,The MetroHealth System,10000000,0.85%,hospital,5000+,OH,C,THE METROHEALTH SYSTEM,https://en.wikipedia.org/wiki/MetroHealth,"Cuyahoga County's public hospital system, governed by a county-appointed board; almost 9,000 employees as of December 2023 and the 10th largest employer in Northeast Ohio. Not a business; grant was $10M in FY2022 and FY2024.",
1: $1M+,Nestlé S.A.,9200000,0.78%,business,5000+,Switzerland,C,NESTLE PURINA PETCARE COMPANY | NESTLE USA INC,https://en.wikipedia.org/wiki/Nestl%C3%A9 | https://www.jobsohio.com/newsroom/news-press/nestle-purina-petcare-will-build-a-new-factory-in-ohio-to-meet-growing-pet-food-demand,"Nestle USA (Solon R&D and headquarters functions) is a subsidiary of Nestlé S.A. of Vevey, Switzerland, which reported 291,000 employees in 2019 and 276,000 in 2021. Form 5500 shows over 44,000 US plan participants. Graded C: Wikipedia is the only source. | Nestlé Purina PetCare (St. Louis, MO) is a wholly owned division of Nestlé S.A. of Vevey, Switzerland, which employs roughly 270,000-275,000 people; the JobsOhio release says Nestlé alone had 3,300 Ohio employees when it announced the $550M W",
1: $1M+,Cleveland 2016 Host Committee Inc,9000000,0.77%,nonprofit,<100,OH,B,Cleveland 2016 Host Committee Inc,https://projects.propublica.org/nonprofits/organizations/471304221,"Single-purpose 501(c)(3) that raised money for the 2016 Republican National Convention in Cleveland; revenue of $34.2M (2014), $7.4M (2015) and $16.3M (2016), then wound down to zero by 2018. Its 990s list a handful of officers (David Gilbert, Jon Pinney) and no large staff, so the bucket is a floor from the filings rather than a stated headcount.",
1: $1M+,Transportation Research Center Inc. (affiliate of The Ohio State University),9000000,0.77%,nonprofit,100-499,OH,C,TRANSPORTATION RESEARCH CENTER INC,https://en.wikipedia.org/wiki/Transportation_Research_Center,"TRC Inc. is a 501(c)(3) affiliated with Ohio State that operates the East Liberty proving grounds on Honda-owned land under a 1988 management agreement; Wikipedia says more than 400 employees, JobsOhio's own report shows 347 retained jobs, and its Form 5500 counted 454-471 participants in 2015-2023. Auto class said business; the grants were $9M of R&D money for the SMART Center, so a reader may ask whether this is really a university or Honda project. Graded C: Wikipedia is the only source.",
1: $1M+,"altafiber (Cincinnati Bell Inc.), owned by Macquarie Infrastructure Partners; Digital Access Ohio is its joint venture with JobsOhio",7470000,0.64%,business,5000+,OH,A,DIGITAL ACCESS OHIO LLC,https://www.sec.gov/Archives/edgar/data/716133/000095017023009198/ck0000716133-20221231.htm,"Digital Access Ohio LLC was formed in 2022 by Canton-based Agile Networks with JobsOhio committing up to $40M; altafiber (Cincinnati Bell) bought Agile on May 2, 2022 for $65.5M, and its FY2022 10-K calls DAO 'our Joint Venture with the State of Ohio', carries the JobsOhio money as a 'Digital Access Ohio Advance' and reports about 5,800 employees at December 31, 2022. Cincinnati Bell itself has been owned by Macquarie's Red Fiber Parent LLC since September 2021, so JobsOhio's grants flowed into ",
1: $1M+,Lawrence Economic Development Corporation,7338676,0.63%,nonprofit,<100,OH,B,LAWRENCE ECONOMIC DEVELOPMENT CORPORATION,https://projects.propublica.org/nonprofits/organizations/311075744,"County economic development corporation and JobsOhio network partner (via OhioSE) in South Point; its 990s list three key staff (Bill Dingus, Jeremy Clay, Jesse Layne) and revenue of $3.6M-$14.3M a year in 2018-2024. Grants were revitalization and spec-building (OSIP) money for The Point industrial park, not an operating business.",
1: $1M+,McKesson Corporation,6613235,0.56%,business,5000+,TX,A,COVERMYMEDS LLC,https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,"CoverMyMeds was founded in Twinsburg in 2008 and bought by McKesson in January 2017 for $1.1B (about 450 employees then), before the first grant year; McKesson's FY2020 10-K reports about 80,000 employees. McKesson moved its HQ from San Francisco, CA to Irving, TX effective April 1, 2019, so the FY2017 grant was under a CA parent and the 2019-2022 grants under a TX parent.",
1: $1M+,"First Solar, Inc.",6345649,0.54%,business,5000+,AZ,A,FIRST SOLAR INC,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/fslr-20201231.htm,"Public company (NASDAQ: FSLR) headquartered in Tempe, AZ; FY2020 10-K reports approximately 5,100 associates as of December 31, 2020. Its predecessor Solar Cells Inc. started in Toledo, but the parent was formed in Arizona in 1999 and the Ohio plants in Perrysburg and Lake Township are subsidiaries.",
1: $1M+,unknown,5904554,0.50%,site_development,<100,OH,D,4560 Darrow Road LLC | BH (OHIO) LEASING LLC | CMG STRATEGY CO LLC | COOKE BUILDING LLC | MILLS BARNETT SIRRIS HOLDINGS III LLC | RESERVE PREMIER LLC | RUDOLPH DEVELOPMENT LLC | SR 29 WEST JEFF LLC | ,JobsOhio metrics (jobs_retained_max 82) | https://efts.sec.gov/LATEST/search-index?q=%22BH+(Ohio)+Leasing%22 | https://efts.sec.gov/LATEST/search-index?q=%22Cooke+Building%22 | https://news.google.com/rss/search?q=%224560%20Darrow%20Road%22%20Stow%20Ohio | https://news.google.com/rss/search?q=%22Mil,"No EDGAR, F5500 or metrics record; searches for ""The New Carlisle LLC"" and for a New Carlisle/Clark County OH project in 2015-2016 turned up nothing, so this is graded D as a likely small project LLC. | No EDGAR, F5500 or metrics record; the only match at this Stow OH address was a MACtac plant closure in 2014, well before the 2018 grant, so the tenant is unconfirmed and this is graded D. | No EDGAR, F5500, metrics record, or news coverage found for Rudolph Development LLC or a matching 2019 Ohi",
1: $1M+,JPMorgan Chase & Co.,5900000,0.50%,business,5000+,NY,A,JPMORGAN CHASE BANK NA,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,"JPMorgan Chase Bank, N.A. (Columbus-chartered) is the main bank subsidiary of JPMorgan Chase & Co., New York; the FY2019 10-K reports headcount of 256,981 and JobsOhio's 2018 release puts its central Ohio workforce at 19,200. The EDGAR match to 'Warehouse Funding Avery Point VII' is a trust filing under the bank's EIN, not the parent.",
1: $1M+,"International Consolidated Airlines Group, S.A. (IAG)",5681149,0.48%,business,5000+,United Kingdom,C,BRITISH AIRWAYS PLC,https://en.wikipedia.org/wiki/International_Airlines_Group,"British Airways has been a wholly owned subsidiary of IAG since 2011; IAG is registered in Madrid, Spain with corporate headquarters in London and about 76,000 employees. The FY2024 payment is an Air Service Restoration Program route incentive for the CVG-London Heathrow flight that began June 2023, not a site project. Graded C: Wikipedia is the only source.",
1: $1M+,Yorkville Intermodal Terminals LLC (Charles J. Betters and Victor DiGeronimo),5200000,0.44%,site_development,<100,PA,D,YORKVILLE INTERMODAL TERMINALS LLC,https://www.timesleaderonline.com/news/local-news/2017/05/yorkville-officials-brainstorm-ideas-to-create-growth/,"Project LLC formed December 2016 (Ohio charter 3965739) by Aliquippa, PA developer Charles J. Betters (C.J. Betters Enterprises) with Cleveland's Victor DiGeronimo (Independence Excavating) to buy and clean up the former Wheeling-Pittsburgh Steel mill in Yorkville for a barge terminal; a 2024 Jefferson County Port Authority report still calls it an ownership group marketing the site. The LLC itself has no staff; the owners' companies are private and no source gives their size, so the bucket refl",
1: $1M+,"Great Lakes Cheese Co., Inc.",5100000,0.43%,business,500-4999,OH,C,GREAT LAKES CHEESE CO INC,https://www.geaugamapleleaf.com/news/john-epprecht-describes-huge-expansion-of-glc-operation/,"Privately held, Epprecht family-controlled cheese packer headquartered in Hiram with employees holding a 20% ESOP stake; a February 2020 presentation put the Hiram plant at more than 500 workers and the new headquarters at 253, its Form 5500 counted 3,507 participants in 2019 (4,879 by 2023), and JobsOhio shows 671 retained jobs on the $5.1M grant. Company-wide it sat under 5,000 in 2020-2021 but is close to that line now.",
1: $1M+,"Jefferis Real Estate, LLC (T.J. and John Jefferis Sr.)",5000000,0.43%,site_development,<100,OH,C,JEFFERIS REAL ESTATE LLC,https://www.daily-jeff.com/story/news/2018/05/09/barnesville-firm-honored-by-development/12214242007/,"Family real-estate developer founded in Barnesville in 2001 by brothers T.J. and John Jefferis Sr.; by 2018 it had built nine leased industrial buildings in Barnesville-area industrial parks, mostly for oil and gas tenants employing over 400 people, and JobsOhio's June 2018 report shows a $5M Revitalization Grant against $6.4M of investment and zero direct jobs. No headcount is published; a two-owner developer of this kind is very likely under 100 employees, and the 400 jobs belong to tenants, n",
1: $1M+,Midmark Corporation,5000000,0.43%,business,500-4999,OH,B,MIDMARK CORPORATION,https://www.jobsohio.com/newsroom/news-press/midmark-expands-its-healthcare-manufacturing-footprint-in-ohio,"Private, family-controlled medical and dental equipment maker founded in Versailles in 1915 with corporate offices in Miamisburg (Dayton area); the JobsOhio release on the Versailles expansion cites nearly 2,000 employees worldwide, 1,002 retained and 99 new jobs, and its Form 5500 shows 1,678 participants in 2019.",
1: $1M+,Ensemble Health Partners (majority owned by Golden Gate Capital from August 2019; founded by Bon Secours Mercy Health),4919985,0.42%,business,5000+,OH,A,ENSEMBLE HP,https://www.sec.gov/Archives/edgar/data/1865597/000119312521286798/d132904ds1.htm,"Cincinnati (Blue Ash) hospital revenue-cycle firm founded 2014 by Mercy Health; Golden Gate Capital took a majority stake on August 1, 2019 and the September 2021 S-1 reports 6,492 full-time employees as of June 30, 2021 with principal offices at 11511 Reed Hartman Highway, Cincinnati. At the first grant year it was smaller (3,600 employees in May 2019 per the Golden Gate deal coverage), so the bucket reflects the later grant years; the IPO was pulled and Warburg Pincus and Berkshire Partners bo",
1: $1M+,Ohio-West Virginia Excavating Co. (Dennis Hendershot and Roger Lewis),4739868,0.40%,site_development,100-499,OH,D,Ohio-West Virginia Excavating Co,https://www.timesleaderonline.com/news/local-news/2022/02/shadyside-approves-ohio-business-for-water-project/,"Shadyside excavating contractor run by Dennis Hendershot and Roger Lewis that owned the largest tract of the 500-acre Dilles Bottom site beside FirstEnergy's Burger plant, which JobsOhio's 2015 Revitalization Grants ($3M plus $277,275) helped prepare for PTT Global Chemical's proposed ethane cracker; the cracker was never built. No source gives a headcount; it bids roughly $1M municipal jobs, so 100-499 is a guess between a small local contractor and a mid-size one, and the grant really paid for",
1: $1M+,Fiat Chrysler Automobiles N.V. (Stellantis N.V. from Jan 2021),4540017,0.39%,business,5000+,United Kingdom,A,FCA US LLC,https://www.sec.gov/Archives/edgar/data/1605484/000160548420000011/fca20191231annualreportand.htm,"FCA N.V. 20-F for 2019 reports 191,752 employees, incorporated in the Netherlands with principal executive offices in London. FCA US LLC (Toledo Jeep plants) became a Stellantis N.V. (Netherlands) subsidiary on Jan 16, 2021, which covers the FY2021 grant.",
1: $1M+,Port of Greater Cincinnati Development Authority,4499294,0.38%,government,<100,OH,C,PORT OF GREATER CINCINNATI DEVELOPMENT AUTHORITY,https://www.cincinnatiport.org/wp-content/uploads/Port_of_Greater_Cincinnati_Dev_Authority_2024-Hamilton_FINAL-1.pdf,Public port authority created by the City of Cincinnati and Hamilton County; grants were Revitalization and OSIP spec-development money passed through to sites. Staff is a few dozen per its website and audited financial report; no exact headcount was published.,
1: $1M+,JSW Steel Ltd,4437946,0.38%,business,5000+,India,B,JSW STEEL USA OHIO INC,https://en.wikipedia.org/wiki/JSW_Steel,"JSW Steel USA Ohio is the former Acero Junction mill in Mingo Junction, bought in 2018 by JSW Steel Ltd of Mumbai (JSW Group), which reported well over 10,000 employees through the grant years. Form 5500 shows 333 to 345 participants at the Ohio entity alone; JobsOhio counted 400 retained jobs.",
1: $1M+,BlueScope Steel Ltd,4000000,0.34%,business,5000+,Australia,C,NORTH STAR BLUESCOPE STEEL LLC,https://en.wikipedia.org/wiki/BlueScope,"North Star BlueScope Steel in Delta became wholly owned by Melbourne-based BlueScope Steel after it bought Cargill's 50 percent in 2015; BlueScope reported roughly 14,000 employees in FY2020 and 16,500 in 2024. Form 5500 shows 477 to 656 participants at the Delta mill alone.",
1: $1M+,"Amazon.com, Inc.",3935025,0.34%,business,5000+,WA,A,AMAZONCOM SERVICES LLC | VADATA INC,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm | https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,"Amazon.com Services LLC is the operating subsidiary of Amazon.com, Inc. (Seattle), which reported about 1,541,000 full- and part-time employees at Dec 31, 2022 in its 10-K. The Form 5500 plan under this EIN had 1,295,394 participants in 2023. | Vadata, Inc. is the Amazon Web Services subsidiary that builds and owns Amazon's data centers, including its central Ohio campuses, and shares Amazon's Seattle address. Amazon reported about 1,298,000 employees at Dec. 31, 2020 in its FY2020 10-K.",
1: $1M+,Lam Research Corporation,3882369,0.33%,business,5000+,CA,A,SILFEX INC,https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/lrcx10k2019document.htm,"Silfex is a wholly owned subsidiary of Lam Research (Fremont, CA), whose FY2019 10-K reports approximately 10,700 regular employees. Silfex has operated in Eaton since 1971 and expanded into Springfield, but the parent is Californian.",
1: $1M+,"Novagard Solutions, Inc.",3876963,0.33%,business,100-499,OH,B,NOVAGARD SOLUTIONS INC,https://www.jobsohio.com/annual-report-2021/economy-results/innovation,"Privately held, woman-owned silicone maker with a single 200,000 sq ft Cleveland site; JobsOhio counted 113 retained jobs and 50 new jobs tied to the R&D Center Grant, and the company cites 45 percent workforce growth from 2018 to 2022. No exact total headcount was published, but one site with roughly 113 to 170 jobs puts it in 100-499.",
1: $1M+,Zanesville-Muskingum County Port Authority,3865976,0.33%,government,<100,OH,C,ZANESVILLE MUSKINGUM COUNTY PORT AUTHORITY,https://www.chmura.com/blog/how-zanesville-muskingum-county-used-jobseq-to-win-3.1-million-state-grant,County economic development port authority that received a $3.09 million JobsOhio spec-development (OSIP) grant to buy and prepare the National Road Business Park site. It is a small public agency with a handful of staff; no headcount is published.,
1: $1M+,Libbey Glass LLC (formerly Libbey Inc.),3750000,0.32%,business,5000+,OH,B,LIBBEY GLASS,https://www.sec.gov/Archives/edgar/data/902274/000143774920003729/lby20191231_10k.htm,"Libbey's last 10-K (2019) reports 5,872 employees, about 70 percent outside the US; the company went through Chapter 11 in 2020 and emerged privately held by its former lenders as Libbey Glass LLC, still headquartered in Toledo. Founded in 1818 in Massachusetts and moved to Toledo in 1888; Form 5500 shows 2,349 US participants in 2023, so post-bankruptcy worldwide headcount near 5,000 is an estimate.",
1: $1M+,"GOJO Industries, Inc.",3500000,0.30%,business,500-4999,OH,C,GOJO INDUSTRIES INC,https://en.wikipedia.org/wiki/GOJO_Industries,"Family-owned Purell maker founded in Akron in 1946 and headquartered there; Wooster is a plant. Roughly 2,500 employees, consistent with Form 5500 participant counts of 2,086 (2019) and 2,373 (2023); Clorox agreed to buy GOJO in January 2026, after the grant years. Graded C: Wikipedia is the only source.",
1: $1M+,"Pratt Industries, Inc. (Anthony Pratt / Visy group)",3350000,0.29%,business,5000+,GA,C,PRATT PAPER (OH) LLC,https://en.wikipedia.org/wiki/Visy_Industries,"Pratt Paper (OH) LLC is the Wapakoneta recycled-paper mill of Pratt Industries, the Conyers, Georgia US arm of Anthony Pratt's privately held Visy group of Melbourne, Australia; the combined group reported about 11,000 employees in 2020. Pratt Industries alone does not publish a headcount, but with six mills and dozens of plants it is well above 5,000.",
