recipient_id,name,all_names,ein,city,state,zip,irc_section,first_fy,last_fy,years,n_rows,total_cash,metrics_company,metrics_programs,metrics_industry,metrics_match_score,metrics_commit_total,metrics_jobs_retained_max,metrics_jobs_created_sum,metrics_months
EIN:340966056,CLEVELAND STATE UNIVERSITY,CLEVELAND STATE UNIVERSITY,340966056,CLEVELAND,OH,44115,STATE OF OHIO,2022,2024,2022 2023 2024,3,15000000,,,,,,,,
EIN:821661828,SEEFRIED DEVELOPMENT SERVICES INC,SEEFRIED DEVELOPMENT SERVICES INC | Seefried Development Services Inc,821661828,ATLANTA,GA,30339,,2018,2020,2018 2019 2020,3,14055000,,,,,,,,
EIN:341920747,IRONUNITS LLC,IRON UNITS LLC | IRONUNITS LLC,341920747,TOLEDO,OH,43605,,2019,2022,2019 2020 2022,3,14000000,IronUnits LLC,Economic Development Grant; Revitalization Grant; Workforce Grant,Other,1.00,14000000,0,390,2017-Dec
EIN:310833936,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,310833936,CINCINNATI,OH,45229,501(C)(3),2020,2022,2020 2022,2,12500000,Cincinnati Children's Hospital Medical Center,Other Loan,Healthcare,1.00,32000000,,,2024-Sep
EIN:341940561,FirstEnergy Generation LLC,FirstEnergy Generation LLC,341940561,Akron,OH,44308,,2017,2017,2017,1,12408019,"FirstEnergy Generation, LLC",Revitalization Grant; Revitalization Grant Phase II,Shale Energy and Petrochemicals,1.00,2200000,,,2016-Jun
EIN:474510612,PTTGC AMERICA LLC,PTTGC AMERICA LLC | PTTGC America LLC,474510612,HOUSTON,TX,77056,,2017,2021,2017 2020 2021,3,11451981,PTTGC America LLC,Economic Development Grant; Revitalization Grant,Energy and Chemicals,1.00,51451980,0,0,2017-Jun 2019-Jun 2020-Jan
EIN:952041006,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC,952041006,MARYSVILLE,PA,43040,,2024,2024,2024,1,10700000,"Honda Development & Manufacturing of America, LLC",Economic Development Grant; Research & Development Grant,Automotive,1.00,232000000,8023,2536,2023-Jan 2024-Aug
EIN:383928174,Fuyao Glass America Inc,Fuyao Glass America Inc,383928174,Moraine,OH,45439,,2015,2018,2015 2017 2018,3,10600000,Fuyao Glass America Inc.,Economic Development Grant; Workforce Grant,Automotive,1.00,9000000,1589,2000,2015-Jan 2023-Apr
EIN:140689340,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY | General Electric Company | THE GENERAL ELECTRIC COMPANY,140689340,EVENDATE,OH,45215,,2018,2024,2018 2020 2021 2023 2024,5,10091471,General Electric Company,Research & Development Grant,Aerospace and Aviation,1.00,16500000,6450,300,2018-Dec 2024-Dec
EIN:320561106,PETMIN USA INC,PETMIN USA INC,320561106,ASHTABULA,OH,44004,,2020,2021,2020 2021,2,10000000,"Petmin USA, Inc.",Economic Development Grant; Revitalization Grant,Other,1.00,10000000,0,220,2020-Feb
EIN:346004382,THE METROHEALTH SYSTEM,THE METROHEALTH SYSTEM,346004382,CLEVELAND,OH,44109,,2022,2024,2022 2024,2,10000000,,,,,,,,
EIN:471304221,Cleveland 2016 Host Committee Inc,Cleveland 2016 Host Committee Inc,471304221,Cleveland,OH,44101,501(c)(3),2015,2016,2015 2016,2,9000000,,,,,,,,
EIN:311228202,TRANSPORTATION RESEARCH CENTER INC,TRANSPORTATION RESEARCH CENTER INC,311228202,EAST LIBERTY,OH,43319,,2020,2022,2020 2021 2022,3,9000000,Transportation Research Center Inc.,Research & Development Grant,Automotive,1.00,8500000,347,48,2018-May 2021-Oct
EIN:316056230,THE RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,THE RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,316056230,COLUMBUS,OH,43205,501(C)(3),2022,2024,2022 2023 2024,3,8500000,,,,,,,,
EIN:882074726,DIGITAL ACCESS OHIO LLC,DIGITAL ACCESS OHIO LLC,882074726,CANTON,OH,44702,,2023,2024,2023 2024,2,7470000,,,,,,,,
EIN:311075744,LAWRENCE ECONOMIC DEVELOPMENT CORPORATION,LAWRENCE ECONOMIC DEVELOPMENT CORPORATION | Lawrence Economic Development Corporation,311075744,SOUTH POINT,OH,45680,501(C)(3),2018,2023,2018 2019 2020 2021 2022 2023,6,7338676,Lawrence Economic Development Corporation,Revitalization Grant; Revitalization Loan; Spec Development (OSIP),N/a,1.00,9450000,0,0,2017-Dec 2018-Mar 2021-Mar 2021-Oct
EIN:263446223,COVERMYMEDS LLC,COVERMYMEDS | COVERMYMEDS LLC | CoverMyMeds LLC,263446223,COLUMBUS,OH,43222,,2017,2022,2017 2019 2020 2021 2022,5,6613235,CoverMyMeds LLC,Economic Development Grant; Workforce Grant,Healthcare,1.00,5650000,592,2180,2015-Jan 2019-Jan
EIN:204623678,FIRST SOLAR INC,FIRST SOLAR INC,204623678,TEMPE,AZ,85281,,2019,2021,2019 2020 2021,3,6345649,"First Solar, Inc.",Economic Development Grant; Research & Development Grant; Workforce Grant,Advanced Manufacturing,1.00,14150000,2430,4517,2015-Jul 2018-Jul 2021-Nov 2024-Feb 2024-May
EIN:430470580,NESTLE PURINA PETCARE COMPANY,NESTLE PURINA PETCARE COMPANY,430470580,SAINT LOUIS,MO,63102,,2021,2021,2021,1,6000000,Nestle Purina PetCare Company,Economic Development Grant,Food and Agribusiness,1.00,6000000,0,300,2021-Mar
EIN:134994650,JPMORGAN CHASE BANK NA,JPMORGAN CHASE BANK NA | JPMORGAN CHASE BANK NATIONAL ASSOCIATION,134994650,COLUMBUS,OH,43240,,2019,2023,2019 2023,2,5900000,,,,,,,,
NAME:british airways,BRITISH AIRWAYS PLC,BRITISH AIRWAYS PLC,,,,,,2024,2024,2024,1,5681149,,,,,,,,
EIN:814690065,YORKVILLE INTERMODAL TERMINALS LLC,YORKVILLE INTERMODAL TERMINALS LLC | Yorkville Intermodal Terminals LLC,814690065,ALIQUIPPA,PA,15001,,2018,2024,2018 2023 2024,3,5200000,Yorkville Intermodal Terminals LLC*,Revitalization Grant; Revitalization Grant Phase II,Other,1.00,5200000,0,0,2017-Sep 2019-Dec
EIN:341015620,GREAT LAKES CHEESE CO INC,GREAT LAKES CHEESE CO INC,341015620,HIRAM,OH,44234,,2020,2021,2020 2021,2,5100000,"Great Lakes Cheese Co., Inc.",Economic Development Grant,Food Sciences and Agriculture,1.00,5100000,671,400,2019-Mar
EIN:310925242,Honda of America Mfg Inc,Honda of America Mfg Inc,310925242,Anna,OH,45302,,2015,2016,2015 2016,2,5000000,Honda of America Mfg Inc.,Economic Development Grant,Automotive,1.00,6800000,2520,270,2015-Jan 2020-Dec
EIN:341823010,JEFFERIS REAL ESTATE LLC,JEFFERIS REAL ESTATE LLC,341823010,BARNESVILLE,OH,43713,,2019,2020,2019 2020,2,5000000,"Jefferis Real Estate, LLC *",Revitalization Grant,Other,1.00,5000000,0,0,2018-Jun
EIN:344269370,MIDMARK CORPORATION,MIDMARK CORPORATION,344269370,VERSAILLES,OH,45380,,2019,2020,2019 2020,2,5000000,Midmark Corporation,Economic Development Grant; Research & Development Grant,Healthcare,1.00,5150000,1082,177,2017-Oct 2023-Oct
EIN:311609283,ANDELYN BIOSCIENCES INC,ANDELYN BIOSCIENCES INC,311609283,COLUMBUS,OH,43205,,2022,2022,2022,1,5000000,"Andelyn Biosciences, Inc.",Growth Fund Loan; Research & Development Grant,Healthcare,1.00,8500000,170,350,2020-Nov 2022-Feb
EIN:384050738,ENSEMBLE HP,ENSEMBLE HP | ENSEMBLE HP LLC,384050738,CINCINNATI,OH,45237,,2019,2021,2019 2020 2021,3,4919985,"Ensemble HP, LLC",Economic Development Grant,Healthcare,1.00,4250000,480,1100,2019-May
EIN:341421920,Ohio-West Virginia Excavating Co,Ohio-West Virginia Excavating Co,341421920,Shadyside,OH,43947,,2015,2018,2015 2016 2017 2018,4,4739868,Ohio-West Virginia Excavating Co.,Revitalization Grant; Revitalization Grant Phase II,Shale Energy and Petrochemicals,1.00,3277275,,,2015-Jun
EIN:330054861,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC | HONDA R&D AMERICAS INC,330054861,RAYMOND,OH,43067,,2019,2021,2019 2021,2,4700000,"Honda Development & Manufacturing of America, LLC",Economic Development Grant; Research & Development Grant,Automotive,1.00,232000000,8023,2536,2023-Jan 2024-Aug
EIN:270187277,FCA US LLC,FCA US LLC,270187277,TOLEDO,OH,43608,,2018,2021,2018 2019 2020 2021,4,4540017,FCA US LLC,Economic Development Grant; Workforce Grant,Automotive,1.00,4553500,5164,1452,2017-Aug 2019-Jun
EIN:311752368,PORT OF GREATER CINCINNATI DEVELOPMENT AUTHORITY,PORT OF GREATER CINCINNATI DEVELOPMENT AUTHORITY | Port of Greater Cincinnati Development Authority,311752368,CINCINNATI,OH,45202,,2017,2024,2017 2018 2019 2021 2023 2024,6,4499294,Port of Greater Cincinnati Development Authority,Revitalization Grant; Revitalization Grant Phase II; Spec Development (OSIP),Other,1.00,5265238,0,0,2016-Sep 2017-Feb 2020-Apr 2023-Jan
EIN:813308222,JSW STEEL USA OHIO INC,JSW STEEL USA OHIO INC,813308222,MINGO JUNCTION,OH,43938,,2020,2022,2020 2021 2022,3,4437946,"JSW Steel USA Ohio, Inc.",Revitalization Grant,Advanced Manufacturing,1.00,6000000,400,306,2018-Nov 2023-Sep
EIN:341797943,NORTH STAR BLUESCOPE STEEL LLC,NORTH STAR BLUESCOPE STEEL LLC,341797943,DELTA,OH,43515,,2020,2020,2020,1,4000000,North Star Bluescope Steel LLC,Economic Development Grant,Other,1.00,4450000,577,115,2019-Oct 2024-Sep
EIN:205699765,SILFEX INC,SILFEX INC | Silfex Inc,205699765,EATON,OH,45320,,2018,2020,2018 2019 2020,3,3882369,"Silfex, Inc.",Economic Development Grant; Workforce Grant,Advanced Manufacturing,1.00,3700000,366,909,2017-Mar 2018-May
EIN:020599025,NOVAGARD SOLUTIONS INC,NOVAGARD SOLUTIONS INC,020599025,CLEVELAND,OH,44193,,2022,2024,2022 2023 2024,3,3876963,"Novagard Solutions, Inc.",Research & Development Grant,Energy and Chemicals,1.00,4000000,113,50,2021-Jun
EIN:316400080,ZANESVILLE MUSKINGUM COUNTY PORT AUTHORITY,ZANESVILLE MUSKINGUM COUNTY PORT AUTHORITY | Zanesville Muskingum County Port Authority,316400080,ZANESVILLE,OH,43701,,2017,2022,2017 2021 2022,3,3865976,Zanesville Muskingum County Port Authority,Spec Development (OSIP),Other,1.00,3090000,0,0,2020-Aug
EIN:222784107,LIBBEY GLASS,LIBBEY GLASS | LIBBEY GLASS LLC,222784107,TOLEDO,OH,43604,,2022,2023,2022 2023,2,3750000,Libbey Glass LLC,Economic Development Grant,Advanced Manufacturing,1.00,5000000,986,0,2021-Jan
EIN:340659953,GOJO INDUSTRIES INC,GOJO INDUSTRIES INC,340659953,WOOSTER,OH,44691,,2021,2022,2021 2022,2,3500000,"GOJO Industries, Inc.",Economic Development Grant; Growth Fund Loan,Healthcare,1.00,17000000,358,836,2016-Mar 2020-Dec 2020-Nov
EIN:822631781,PRATT PAPER (OH) LLC,PRATT PAPER (OH) LLC | Pratt Paper (OH) LLC,822631781,WAPAKONETA,OH,45895,,2018,2020,2018 2020,2,3350000,"Pratt Paper (OH), LLC",Economic Development Grant; Workforce Grant,Advanced Manufacturing,1.00,4250000,0,600,2018-May
EIN:311299990,PAYCOR INC,PAYCOR INC,311299990,CINCINNATI,OH,45212,,2020,2020,2020,1,3346355,"Paycor, Inc.",Economic Development Grant,Financial Services,1.00,4000000,731,1064,2018-Jan
EIN:822644964,BREEZE AVIATION GROUP,BREEZE AVIATION GROUP,822644964,COTTONWOOD HEIGHTS,UT,84121,,2022,2024,2022 2023 2024,3,3318587,,,,,,,,
EIN:871928352,AMERICAN NITRILE OPERATIONS LLC,AMERICAN NITRILE OPERATIONS LLC,871928352,GROVE CITY,OH,43123,,2022,2024,2022 2023 2024,3,3303561,"American Nitrile Operations, LLC",Economic Development Grant,Advanced,1.00,3000000,0,400,2021-Sep
EIN:951572209,NESTLE USA INC,NESTLE USA INC | Nestle Prepared Foods Company | Nestle USA Inc | Nestle Usa Inc,951572209,SOLON,OH,44139,,2016,2021,2016 2018 2020 2021,5,3200000,"Nestle USA, Inc.",Economic Development Grant; Workforce Grant,Food and Agribusiness,1.00,1200000,1251,230,2018-Aug 2020-Mar
EIN:454081743,SEEFRIED DEVELOPMENT MANAGEMENT INC,SEEFRIED DEVELOPMENT MANAGEMENT INC,454081743,ATLANTA,GA,30339,,2021,2021,2021,1,3150000,,,,,,,,
EIN:316000056,CITY OF SPRINGFIELD OHIO,CITY OF SPRINGFIELD OHIO,316000056,SPRINGFIELD,OH,45502,STATE OF OHIO,2023,2024,2023 2024,2,3126105,City of Springfield,Aerospace and Defense Opportunity Grant; Spec Development (OSIP),Other Western,0.67,3476105,0,0,2021-Feb 2022-Oct 2026-Jul
EIN:474927987,ALTIVIA PETROCHEMICALS LLC,ALTIVIA PETROCHEMICALS LLC | Altivia Petrochemicals LLC,474927987,HAVERHILL,OH,45636,,2017,2021,2017 2018 2019 2020 2021,5,3100000,"Altivia Petrochemicals, LLC",Economic Development Grant; Revitalization Grant; Workforce Grant,Shale Energy and Petrochemicals,1.00,1700000,137,72,2015-Dec 2020-Feb
EIN:205152100,TOTAL QUALITY LOGISTICS LLC,TOTAL QUALITY LOGISTICS LLC,205152100,CINCINNATI,OH,45245,,2020,2021,2020 2021,2,3050000,"Total Quality Logistics, LLC",Economic Development Grant; Workforce Grant,Logistics and Distribution,1.00,7575000,2623,2191,2017-Dec 2019-Jun 2019-Nov 2021-Nov 2022-Sep
EIN:753033627,MEDPACE INC,MEDPACE INC | Medpace Inc,753033627,CINCINNATI,OH,45227,,2018,2020,2018 2019 2020,3,3000000,"Medpace, Inc.",Economic Development Grant; Workforce Grant,Biohealth,1.00,26000000,1916,2800,2017-Jan 2023-Aug
EIN:261531856,DANA LIMITED,DANA LIMITED,261531856,MAUMEE,OH,43537,,2019,2019,2019,1,3000000,Dana Limited,Economic Development Grant; Research & Development Grant,Automotive,1.00,3700000,929,215,2018-Jul 2022-May
EIN:831622986,NSG GLASS NORTH AMERICA INC,NSG GLASS NORTH AMERICA INC,831622986,LUCKEY,OH,43443,,2019,2021,2019 2020 2021,3,3000000,"NSG Glass North America, Inc",Economic Development Grant; Workforce Grant,Advanced Manufacturing,1.00,3000000,0,300,2019-Jan
EIN:251635459,PRO-TEC COATING COMPANY LLC,PRO-TEC COATING COMPANY LLC,251635459,LEIPSIC,OH,45856,,2019,2019,2019,1,3000000,"Pro-Tec Coating Company, LLC.",Economic Development Grant,Other,1.00,3000000,310,80,2018-Dec
EIN:562341010,ADAMS COUNTY CIC,ADAMS COUNTY CIC,562341010,WEST UNION,OH,45693,,2024,2024,2024,1,2984174,Adams County CIC,Spec Development (OSIP),N/a,1.00,4234600,0,0,2021-Apr
EIN:113751366,QUALITY ELECTRODYNAMICS LLC,QUALITY ELECTRODYNAMICS LLC | Quality Electrodynamics LLC,113751366,MAYFIELD VILLAGE,OH,44143,,2018,2022,2018 2021 2022,3,2700001,Quality Electrodynamics LLC,Research & Development Grant,Biohealth,1.00,2100000,149,30,2017-Aug
EIN:420497670,PELLA CORPORATION,PELLA CORPORATION,420497670,PELLA,IA,50219,,2022,2022,2022,1,2600000,Pella Corporation,Revitalization Grant; Workforce Grant,Advanced Manufacturing,1.00,2600000,0,856,2020-Dec
EIN:820544687,AMAZONCOM SERVICES LLC,AMAZONCOM SERVICES LLC | Amazoncomdedc LLC,820544687,WASHNGTON,DC,20001,,2018,2022,2018 2022,2,2535025,,,,,,,,
EIN:341699247,HYLAND SOFTWARE INC,HYLAND SOFTWARE INC | Hyland Software Inc,341699247,WESTLAKE,OH,44145,,2018,2020,2018 2020,2,2500001,"Hyland Software, Inc.",Economic Development Grant; Workforce Grant,Information Services and Software,1.00,2500000,1507,1000,2017-Feb
EIN:360698440,ABBOTT LABORATORIES,ABBOTT LABORATORIES,360698440,COLUMBUS,OH,43215,,2023,2024,2023 2024,2,2500000,Abbott Laboratories,Economic Development Grant; Revitalization Grant,Healthcare,1.00,2950000,428,199,2019-Jun 2022-Oct
EIN:371700146,SOFIDEL AMERICA CORP,SOFIDEL AMERICA CORP | Sofidel America Corp,371700146,CIRCLEVILLE,OH,43113,,2018,2020,2018 2019 2020,3,2400000,Sofidel America Corp.,Economic Development Grant; Growth Fund Loan; Workforce Grant,Advanced Manufacturing,1.00,10900000,469,1030,2016-Dec 2017-Apr 2023-Oct
EIN:202931565,AMG VANADIUM LLC,AMG VANADIUM LLC,202931565,CAMBRIDGE,OH,43725,,2020,2020,2020,1,2400000,AMG Vanadium LLC,Revitalization Grant,Energy and Chemicals,1.00,2400000,0,102,2019-Dec
EIN:341696662,WESTERN RESERVE PORT AUTHORITY,WESTERN RESERVE PORT AUTHORITY | Western Reserve Port Authority,341696662,YOUNGSTOWN,OH,44503,,2017,2024,2017 2023 2024,3,2349478,Western Reserve Port Authority,Aerospace and Defense Opportunity Grant; Revitalization Grant Phase II; Spec Development (OSIP),TBD,1.00,4809478,,,2016-Jul 2024-Feb 2025-Feb 2026-Jul
EIN:930797222,SAREPTA THERAPEUTICS,SAREPTA THERAPEUTICS | SAREPTA THERAPEUTICS INC,930797222,CAMBRIDGE,MA,02142,,2021,2023,2021 2022 2023,3,2348087,"Sarepta Therapeutics, Inc.",Economic Development Grant,Healthcare,1.00,4000000,138,200,2021-Apr 2023-Oct
EIN:311492675,ATHENS COUNTY PORT AUTHORITY,ATHENS COUNTY PORT AUTHORITY,311492675,ATHENS,OH,45701,,2021,2024,2021 2022 2024,3,2313600,,,,,,,,
EIN:311703368,CARESOURCE MANAGEMENT SERVICES LLC,CARESOURCE MANAGEMENT SERVICES LLC,311703368,DAYTON,OH,45402,,2020,2020,2020,1,2300000,"CareSource Management Services, LLC",Workforce Grant,Healthcare,1.00,560000,2767,167,2026-Jan
EIN:132933685,THE BABCOCK & WILCOX COMPANY,THE BABCOCK & WILCOX COMPANY,132933685,CHARLOTTE,NC,28277,,2020,2023,2020 2023,2,2272675,The Babcock & Wilcox Company,Economic Development Grant,Advanced Manufacturing,1.00,2500000,750,0,2019-Jun
EIN:381888757,JAC PRODUCTS INC,JAC PRODUCTS INC,381888757,SALINE,MI,48176,,2019,2021,2019 2020 2021,3,2270325,"JAC Products, Inc.",Economic Development Grant; Workforce Grant,Automotive,1.00,1775000,0,714,2018-Aug 2018-Jul
EIN:344412691,CROWN EQUIPMENT CORPORATION,CROWN EQUIPMENT CORPORATION,344412691,NEW BREMEN,OH,45869,,2019,2023,2019 2023,2,2229000,Crown Equipment Corporation,Economic Development Grant; Workforce Grant,Advanced Manufacturing,1.00,2329000,4348,1196,2017-Nov 2018-Nov 2019-Dec
EIN:471150410,XELLIA PHARMACEUTICALS USA LLC,XELLIA PHARMACEUTICALS USA LLC | Xellia Pharmaceuticals USA LLC,471150410,BEDFORD,OH,44146,,2018,2020,2018 2020,2,2200000,Xellia Pharmaceuticals USA LLC,Economic Development Grant; Revitalization Grant; Workforce Grant,Healthcare,1.00,2200000,180,440,2017-Jan 2019-Mar 2019-May
EIN:310816401,CALDWELL MOBILE HOME SALES INC,CALDWELL MOBILE HOME SALES INC,310816401,CALDWELL,OH,43724,,2023,2024,2023 2024,2,2065524,,,,,,,,
EIN:340891000,VOSS INDUSTRIES LLC,VOSS INDUSTRIES LLC,340891000,CLEVELAND,OH,44113,,2019,2020,2019 2020,2,2026129,"Voss Industries, LLC",Economic Development Grant; Revitalization Grant; Revitalization Grant Phase II; Workforce Grant,Aerospace and Aviation,1.00,2834000,335,334,2019-Mar 2020-Oct
EIN:980380782,TOPRE AMERICA CORPORATION,TOPRE AMERICA CORPORATION | Topre America Corporation,980380782,SPRINGFIELD,OH,45503,,2018,2022,2018 2019 2020 2022,4,2025000,Topre America Corporation,Economic Development Grant; Workforce Grant,Automotive,1.00,2525000,580,798,2017-Oct 2018-May 2019-Oct 2019-Sep 2024-Aug
EIN:854115123,LOC PERFORMANCE PRODUCTS LLC,LOC PERFORMANCE PRODUCTS LLC,854115123,PLYMOUTH,MI,48170,,2023,2024,2023 2024,2,2007102,"Loc Performance Products, LLC",Economic Development Grant; Workforce Grant,Advanced Manufacturing,1.00,2200000,450,500,2022-Jun
EIN:341517671,ProMedica Health System Inc,ProMedica Health System Inc,341517671,Toledo,OH,43607,,2018,2018,2018,1,2000000,"ProMedica Health System, Inc.",Revitalization Grant; Revitalization Loan,Biohealth,1.00,6000000,900,1200,2017-Oct 2018-Feb
EIN:814480790,NANOGATE NORTH AMERICA,NANOGATE JAY SYSTEMS LLC | NANOGATE NORTH AMERICA,814480790,MANSFIELD,OH,44903,,2019,2020,2019 2020,2,2000000,,,,,,,,
EIN:300998435,UPTOWN SEQ HOLDINGS LLC,UPTOWN SEQ HOLDINGS LLC,300998435,CINCINNATI,OH,45209,,2020,2020,2020,1,2000000,"Uptown SEQ Holdings, LLC*",Revitalization Grant,Other,1.00,2000000,0,0,2019-Apr
EIN:340688825,SWAGELOK MANUFACTURING COMPANY LLC,SWAGELOK MANUFACTURING COMPANY LLC,340688825,SOLON,OH,44139,,2021,2021,2021,1,2000000,"Swagelok Manufacturing Company, LLC",Economic Development Grant,Advanced Manufacturing,1.00,2000000,5237,1000,2018-Dec
EIN:844259311,3251 WESTERVILLE RD LLC,3251 WESTERVILLE RD LLC,844259311,COLUMBUS,OH,43215,,2023,2023,2023,1,2000000,3251 Westerville Rd LLC,Revitalization Grant; Revitalization Loan,Advanced Manufacturing,1.00,4000000,0,300,2022-Nov 2022-Oct
EIN:861821916,PLASTILENE INC,PLASTILENE INC,861821916,WASHINGTON COURT HOUSE,OH,43160,,2023,2023,2023,1,2000000,Plastilene Inc.,Research & Development Grant,Food and Agribusiness,1.00,2000000,0,58,2022-Feb
EIN:871557737,PROJECT BORON LLC,PROJECT BORON LLC,871557737,CLEVELAND,OH,44128,,2023,2024,2023 2024,2,2000000,,,,,,,,
EIN:341084436,UNION HOME MORTGAGE CORP,UNION HOME MORTGAGE CORP,341084436,STRONGSVILLE,OH,44136,,2024,2024,2024,1,2000000,Union Home Mortgage Corp.,Revitalization Grant,Financial Services,1.00,2000000,245,450,2020-Sep
EIN:273218415,URBAN RENEWABLES II LLC,URBAN RENEWABLES II LLC | Urban Renewables II LLC,273218415,RITTMAN,OH,44270,,2018,2020,2018 2020,2,1994151,"Urban Renewables II, LLC*",Revitalization Grant,Advanced Manufacturing,1.00,1994151,,,2016-Jun
EIN:871334704,SFG COLUMBUS PARSONS LLC,SFG COLUMBUS PARSONS LLC,871334704,ATLANTA,GA,30305,,2023,2024,2023 2024,2,1950000,,,,,,,,
EIN:363435795,UGN INC,UGN INC | UGN Inc,363435795,TINLEY PARK,IL,60487,,2017,2023,2017 2020 2021 2022 2023,5,1916261,"UGN, Inc.",Economic Development Grant,Automotive,1.00,600000,234,111,2018-May
EIN:341482024,STERIS CORPORATION,STERIS CORPORATION | STERIS Corp,341482024,MENTOR,OH,44060,,2016,2020,2016 2020,2,1850000,Steris Corporation,Economic Development Grant,Healthcare,1.00,1600000,1576,150,2018-Dec
EIN:311124927,SOUTHGATE COMPANY LIMITED PARTNERSHIP,SOUTHGATE COMPANY LIMITED PARTNERSHIP,311124927,NEWARK,OH,43058,,2021,2022,2021 2022,2,1850000,Southgate Company Limited Partnership,Spec Development (OSIP),N/A,1.00,750000,,,2026-Jun
EIN:232472830,ALKERMES INC,ALKERMES INC | Alkermes Inc,232472830,WILMINGTON,OH,45177,,2017,2021,2017 2018 2021,3,1800000,"Alkermes, Inc.",Economic Development Grant; Workforce Grant,BioHealth,1.00,1800000,427,286,2015-Jun 2017-May
EIN:204055028,COTSWORKS LLC,COTSWORKS LLC,204055028,HIGHLAND HEIGHTS,OH,44134,,2020,2024,2020 2021 2024,3,1800000,"COTSWORKS, LLC",Research & Development Grant,Aerospace and Aviation,1.00,1200000,73,8,2018-Nov
EIN:911461045,PHARMAVITE LLC,PHARMAVITE LLC,911461045,WEST HILLS,CA,91304,,2023,2024,2023 2024,2,1800000,Pharmavite LLC,Economic Development Grant,Healthcare,1.00,1800000,0,225,2023-Jan
EIN:133163498,ADS ALLIANCE DATA SYSTEMS,ADS ALLIANCE DATA SYSTEMS | ADS Alliance Data Systems Inc,133163498,COLUMBUS,OH,43219,,2017,2022,2017 2022,2,1750000,ADS Alliance Data System Inc.,Economic Development Grant; Workforce Grant,Financial Services,0.60,2000000,1300,1400,2015-Jan
EIN:311312684,BELCAN LLC,BELCAN LLC,311312684,BLUE ASH,OH,45242,,2021,2022,2021 2022,2,1750000,"Belcan, LLC",Economic Development Grant,Aerospace and Aviation,1.00,1750000,560,200,2020-Feb
