recipient_id,name,ein,city,state,irc_section,total_cash,n_rows,years,recipient_class_auto,edgar_cik,edgar_name,edgar_name_match,edgar_state_inc,edgar_hq_state,f5500_participants_2015,f5500_participants_2019,f5500_participants_2023,f5500_sponsor,f5500_sponsor_state,metrics_company,metrics_programs,metrics_jobs_retained_max,metrics_industry,metrics_commit_total,recipient_class,parent,parent_hq_state,hq_source,emp_bucket,emp_source,emp_asof,confidence,founded_in_ohio,notes
EIN:340966056,CLEVELAND STATE UNIVERSITY,340966056,CLEVELAND,OH,STATE OF OHIO,15000000,3,2022 2023 2024,university,,,,,,,,,,,,,,,,university,Cleveland State University (State of Ohio public university),OH,https://en.wikipedia.org/wiki/Cleveland_State_University,500-4999,https://www.univstats.com/salary/cleveland-state-university/; https://en.wikipedia.org/wiki/Cleveland_State_University,2023,C,yes,"IPEDS-derived counts show roughly 1,200 faculty and 1,000 administrative staff (about 2,300 total; a narrower count gives 1,369). Public university established in Cleveland in 1964. Grants likely tied to the Cleveland Innovation District; no JobsOhio metrics row matched."
EIN:821661828,SEEFRIED DEVELOPMENT SERVICES INC,821661828,ATLANTA,GA,,14055000,3,2018 2019 2020,business,,,,,,,,,,,,,,,,site_development,"Seefried Industrial Properties, Inc.",GA,https://www.seefriedproperties.com/,<100,https://www.linkedin.com/company/seefried-industrial-properties-inc-; https://www.crainscleveland.com/article/20170720/news/170729980/amazon-may-stake-claim-old-randall-park-mall-site,2024,C,no,"Seefried is a privately held Atlanta industrial developer (founded 1984) with a few dozen employees (about 36 per directory data); it built and leased Amazon fulfillment centers in Ohio at North Randall (former Randall Park Mall, opened 2018) and Euclid, with JobsOhio revitalization money. The $14M in FY2018-2020 is a pass-through for Amazon-tenanted buildings, so the real beneficiary is Amazon (Seattle, WA, 5000+), not a small business."
EIN:341920747,IRONUNITS LLC,341920747,TOLEDO,OH,,14000000,3,2019 2020 2022,business,0001785182,IronUnits LLC,same name,DE,OH,,,,,,IronUnits LLC,Economic Development Grant; Revitalization Grant; Workforce Grant,0,Other,14000000,business,Cleveland-Cliffs Inc.,OH,https://www.sec.gov/Archives/edgar/data/0000764065/000076406520000041/clf-2019123110xk.htm,5000+,https://www.sec.gov/Archives/edgar/data/0000764065/000076406520000041/clf-2019123110xk.htm; https://www.sec.gov/Archives/edgar/data/764065/000076406521000084/clf-20201231.htm,2020,A,yes,"IronUnits LLC is the Cleveland-Cliffs subsidiary that owns the Toledo HBI plant (130 permanent jobs). Cliffs' FY2019 10-K reports 2,372 employees at Dec. 31, 2019 (500-4999 for the FY2019 grant), then about 25,000 after the AK Steel and ArcelorMittal USA acquisitions in 2020, so the FY2020 and FY2022 grants fall in 5000+. Cleveland-based since 1847."
EIN:310833936,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,310833936,CINCINNATI,OH,501(C)(3),12500000,2,2020 2022,hospital,,,,,,18818,20344,27933,CHILDREN'S HOSPITAL MEDICAL CENTER,OH,Cincinnati Children's Hospital Medical Center,Other Loan,,Healthcare,32000000,hospital,Cincinnati Children's Hospital Medical Center,OH,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf,5000+,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.cincinnatichildrens.org/about/corporate/facts-figures,2022,B,yes,"Ohio Major Employers report (Dec. 2022) lists Cincinnati Children's at 17,204 Ohio employees; Form 5500 shows 20,344 participants in 2019 and 27,933 in 2023. Nonprofit 501(c)(3) pediatric system founded in Cincinnati in 1883. JobsOhio metrics classify the $32M commitment as 'Other Loan'."
EIN:341940561,FirstEnergy Generation LLC,341940561,Akron,OH,,12408019,1,2017,business,0001407702,FirstEnergy Generation Corp.,same name,OH,OH,,,,,,"FirstEnergy Generation, LLC",Revitalization Grant; Revitalization Grant Phase II,,Shale Energy and Petrochemicals,2200000,business,FirstEnergy Corp.,OH,https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/fe-12312017x10k.htm,5000+,https://stockanalysis.com/stocks/fe/employees/; https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/fe-12312017x10k.htm,2017,A,yes,"FirstEnergy Generation LLC was a wholly owned subsidiary of FirstEnergy Solutions, itself a subsidiary of Akron-based FirstEnergy Corp. (about 15,600 employees at end of 2017 per the 10-K). The $12.4M is the JobsOhio revitalization loan for cleanup of the retired R.E. Burger coal plant site in Belmont County, later forgiven and reported by Ohio Capital Journal; FES entered bankruptcy in 2018 and became Energy Harbor in 2020."
EIN:474510612,PTTGC AMERICA LLC,474510612,HOUSTON,TX,,11451981,3,2017 2020 2021,business,,,,,,,,,,,PTTGC America LLC,Economic Development Grant; Revitalization Grant,0,Energy and Chemicals,51451980,business,"PTT Global Chemical Public Company Limited (PTTGC), majority-owned by PTT Plc",Thailand,https://www.set.or.th/en/market/product/stock/quote/pttgc/factsheet,5000+,https://www.zoominfo.com/c/ptt-global-chemical-public-company-ltd/347530219; https://www.theintelligencer.net/news/top-headlines/2022/03/ptt-global-pays-jobsohio-20m-for-failing-to-move-on-belmont-county-cracker-plant/,2020,C,no,"PTTGC America is the US arm of Bangkok-listed PTT Global Chemical (5,000-10,000 employees per directory data; PTT Plc, the Thai state oil company, holds the controlling stake). Partner Daelim (South Korea) withdrew in 2020. JobsOhio grants funded Belmont County cracker-site work; PTTGC repaid $20M in 2022 after failing to reach a final investment decision."
EIN:952041006,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC,952041006,MARYSVILLE,PA,,10700000,1,2024,business,,,,,,30800,35791,41442,"AMERICAN HONDA MOTOR COMPANY, INC.",CA,"Honda Development & Manufacturing of America, LLC",Economic Development Grant; Research & Development Grant,8023,Automotive,232000000,business,"Honda Motor Co., Ltd.",Japan,https://global.honda/en/newsroom/news/2020/c201107eng.html,5000+,https://stockanalysis.com/stocks/hmc/employees/; https://www.prnewswire.com/news-releases/honda-motor-co-ltd-files-annual-report-on-form-20-f-for-fiscal-year-ended-march-31-2024-302177986.html,2024,A,no,"Honda Development & Manufacturing of America LLC (Marysville, OH; the 990 lists 'PA' in error) was formed April 1, 2021 by merging Honda's US manufacturing companies; its parent is Tokyo-based Honda Motor Co., about 194,993 consolidated employees at March 31, 2024 per the Form 20-F. Form 5500 for the EIN shows 41,442 participants under American Honda Motor Co. in 2023; JobsOhio metrics show 8,023 retained jobs and a $232M commitment tied to the EV hub."
EIN:383928174,Fuyao Glass America Inc,383928174,Moraine,OH,,10600000,3,2015 2017 2018,business,,,,,,233,3729,2207,FUYAO GLASS AMERICA INC.,OH,Fuyao Glass America Inc.,Economic Development Grant; Workforce Grant,1589,Automotive,9000000,business,"Fuyao Glass Industry Group Co., Ltd.",China,https://www.dnb.com/business-directory/company-profiles/fuyao-glass-industry-group-co-ltd.698fe3f436b3635a6dea9ede7d781e50,5000+,https://www.daytondailynews.com/news/breaking-news/fuyao-set-double-hiring-moraine-plant-500-jobs/XIW2hI9dJ3w0Rw5Uw8KVnL/; https://www.dnb.com/business-directory/company-profiles/fuyao-glass-industry-group-co-ltd.698fe3f436b3635a6dea9ede7d781e50,2017,B,no,"Fuyao Glass America is the Moraine, OH subsidiary of Fuyao Glass Industry Group, Fuqing, Fujian, China (Shanghai/Hong Kong listed; about 18,000 employees worldwide per Dayton Daily News in 2016 and about 26,000 per D&B). The Moraine plant alone grew past 2,000 workers by 2017; Form 5500 participants rose from 233 in 2015 to 3,729 in 2019. JobsOhio grants: $5.6M for 800 jobs, $4M workforce, $6.6M for the 2016 expansion."
EIN:140689340,GENERAL ELECTRIC COMPANY,140689340,EVENDATE,OH,,10091471,5,2018 2020 2021 2023 2024,business,0000040545,GENERAL ELECTRIC CO,same name,NY,OH,490975,422409,163876,GENERAL ELECTRIC COMPANY,OH,General Electric Company,Research & Development Grant,6450,Aerospace and Aviation,16500000,business,General Electric Company (GE Aerospace),MA,https://www.ge.com/sites/default/files/ge_10k_02022024.pdf,5000+,https://www.ge.com/sites/default/files/ge_10k_02022024.pdf,2023,A,no,"GE's FY2023 10-K reports about 125,000 employees at Dec. 31, 2023 (283,000 at end of 2018), headquartered in Boston, MA during FY2018-2023; after the April 2024 spin-offs GE Aerospace moved the HQ to Evendale, OH, so the FY2024 grant went to an Ohio-headquartered parent. The R&D grants go to GE Aviation/Aerospace in Evendale (6,450 retained jobs). GE was founded in New York in 1892."
EIN:320561106,PETMIN USA INC,320561106,ASHTABULA,OH,,10000000,2,2020 2021,business,,,,,,,,,,,"Petmin USA, Inc.",Economic Development Grant; Revitalization Grant,0,Other,10000000,business,Petmin (Pty) Ltd,South Africa,https://businessjournaldaily.com/474m-pig-iron-plant-gets-permits-for-ashtabula-site/,500-4999,https://www.petmin.co.za/somkhele.php; https://www.miningreview.com/top-stories/petmin-announces-r350m-bbbee-deal-for-somkhele-anthracite-mine/,2020,C,no,"Petmin USA is the subsidiary of Johannesburg-based Petmin, a private mining company (delisted from the JSE in 2017 after a private-equity-backed buyout) whose Somkhele anthracite mine employs roughly 1,000-1,600 people per company and trade-press sources. JobsOhio paid $5M economic development plus $5M revitalization for the $474M Ashtabula pig-iron plant, promised 110 jobs; the plant was still not built as of 2024, and no audited headcount for 2020 was found."
EIN:346004382,THE METROHEALTH SYSTEM,346004382,CLEVELAND,OH,,10000000,2,2022 2024,hospital,,,,,,,,,,,,,,,,hospital,The MetroHealth System,OH,https://en.wikipedia.org/wiki/MetroHealth,5000+,https://en.wikipedia.org/wiki/MetroHealth,2023,C,yes,"Cuyahoga County's public hospital system, governed by a county-appointed board; almost 9,000 employees as of December 2023 and the 10th largest employer in Northeast Ohio. Not a business; grant was $10M in FY2022 and FY2024."
EIN:471304221,Cleveland 2016 Host Committee Inc,471304221,Cleveland,OH,501(c)(3),9000000,2,2015 2016,nonprofit,,,,,,,,,,,,,,,,nonprofit,Cleveland 2016 Host Committee Inc,OH,https://projects.propublica.org/nonprofits/organizations/471304221,<100,https://projects.propublica.org/nonprofits/organizations/471304221,2016,B,yes,"Single-purpose 501(c)(3) that raised money for the 2016 Republican National Convention in Cleveland; revenue of $34.2M (2014), $7.4M (2015) and $16.3M (2016), then wound down to zero by 2018. Its 990s list a handful of officers (David Gilbert, Jon Pinney) and no large staff, so the bucket is a floor from the filings rather than a stated headcount."
EIN:311228202,TRANSPORTATION RESEARCH CENTER INC,311228202,EAST LIBERTY,OH,,9000000,3,2020 2021 2022,business,,,,,,460,471,454,TRANSPORTATION RESEARCH CENTER INC.,OH,Transportation Research Center Inc.,Research & Development Grant,347,Automotive,8500000,nonprofit,Transportation Research Center Inc. (affiliate of The Ohio State University),OH,https://projects.propublica.org/nonprofits/organizations/311228202,100-499,https://en.wikipedia.org/wiki/Transportation_Research_Center,2021,C,yes,"TRC Inc. is a 501(c)(3) affiliated with Ohio State that operates the East Liberty proving grounds on Honda-owned land under a 1988 management agreement; Wikipedia says more than 400 employees, JobsOhio's own report shows 347 retained jobs, and its Form 5500 counted 454-471 participants in 2015-2023. Auto class said business; the grants were $9M of R&D money for the SMART Center, so a reader may ask whether this is really a university or Honda project. Graded C: Wikipedia is the only source."
EIN:316056230,THE RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,316056230,COLUMBUS,OH,501(C)(3),8500000,3,2022 2023 2024,hospital,,,,,,,,,,,,,,,,hospital,Nationwide Children's Hospital,OH,https://projects.propublica.org/nonprofits/organizations/316056230,5000+,https://en.wikipedia.org/wiki/Nationwide_Children%27s_Hospital,2023,C,yes,"The Research Institute is a 501(c)(3) arm of Nationwide Children's Hospital in Columbus, which reports about 11,900 employees. ProPublica lists the EIN under 'Nationwide Childrens Hospital Inc (Research Institute At Nationwide)'."
EIN:882074726,DIGITAL ACCESS OHIO LLC,882074726,CANTON,OH,,7470000,2,2023 2024,business,,,,,,,,,,,,,,,,business,"altafiber (Cincinnati Bell Inc.), owned by Macquarie Infrastructure Partners; Digital Access Ohio is its joint venture with JobsOhio",OH,https://www.sec.gov/Archives/edgar/data/716133/000095017023009198/ck0000716133-20221231.htm,5000+,https://www.sec.gov/Archives/edgar/data/716133/000095017023009198/ck0000716133-20221231.htm,2022,A,yes,"Digital Access Ohio LLC was formed in 2022 by Canton-based Agile Networks with JobsOhio committing up to $40M; altafiber (Cincinnati Bell) bought Agile on May 2, 2022 for $65.5M, and its FY2022 10-K calls DAO 'our Joint Venture with the State of Ohio', carries the JobsOhio money as a 'Digital Access Ohio Advance' and reports about 5,800 employees at December 31, 2022. Cincinnati Bell itself has been owned by Macquarie's Red Fiber Parent LLC since September 2021, so JobsOhio's grants flowed into a JV it co-owns with a PE-held telecom, not a small business."
EIN:311075744,LAWRENCE ECONOMIC DEVELOPMENT CORPORATION,311075744,SOUTH POINT,OH,501(C)(3),7338676,6,2018 2019 2020 2021 2022 2023,nonprofit,,,,,,,,,,,Lawrence Economic Development Corporation,Revitalization Grant; Revitalization Loan; Spec Development (OSIP),0,N/a,9450000,nonprofit,Lawrence Economic Development Corporation,OH,https://projects.propublica.org/nonprofits/organizations/311075744,<100,https://projects.propublica.org/nonprofits/organizations/311075744,2022,B,yes,"County economic development corporation and JobsOhio network partner (via OhioSE) in South Point; its 990s list three key staff (Bill Dingus, Jeremy Clay, Jesse Layne) and revenue of $3.6M-$14.3M a year in 2018-2024. Grants were revitalization and spec-building (OSIP) money for The Point industrial park, not an operating business."
EIN:263446223,COVERMYMEDS LLC,263446223,COLUMBUS,OH,,6613235,5,2017 2019 2020 2021 2022,business,,,,,,158,1052,,"COVERMYMEDS, LLC",OH,CoverMyMeds LLC,Economic Development Grant; Workforce Grant,592,Healthcare,5650000,business,McKesson Corporation,TX,https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,5000+,https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,2020,A,yes,"CoverMyMeds was founded in Twinsburg in 2008 and bought by McKesson in January 2017 for $1.1B (about 450 employees then), before the first grant year; McKesson's FY2020 10-K reports about 80,000 employees. McKesson moved its HQ from San Francisco, CA to Irving, TX effective April 1, 2019, so the FY2017 grant was under a CA parent and the 2019-2022 grants under a TX parent."
EIN:204623678,FIRST SOLAR INC,204623678,TEMPE,AZ,,6345649,3,2019 2020 2021,business,0001274494,"FIRST SOLAR, INC.",same name,DE,AZ,2239,2616,3467,"FIRST SOLAR, INC.",OH,"First Solar, Inc.",Economic Development Grant; Research & Development Grant; Workforce Grant,2430,Advanced Manufacturing,14150000,business,"First Solar, Inc.",AZ,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/fslr-20201231.htm,5000+,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/fslr-20201231.htm,2020,A,no,"Public company (NASDAQ: FSLR) headquartered in Tempe, AZ; FY2020 10-K reports approximately 5,100 associates as of December 31, 2020. Its predecessor Solar Cells Inc. started in Toledo, but the parent was formed in Arizona in 1999 and the Ohio plants in Perrysburg and Lake Township are subsidiaries."
EIN:430470580,NESTLE PURINA PETCARE COMPANY,430470580,SAINT LOUIS,MO,,6000000,1,2021,business,0000735256,RALSTON PURINA CO                                       /TA,DIFFERENT NAME: EIN reused or a parent/former filer; confirm before using,,MO,,,,,,Nestle Purina PetCare Company,Economic Development Grant,0,Food and Agribusiness,6000000,business,Nestlé S.A.,Switzerland,https://en.wikipedia.org/wiki/Nestl%C3%A9,5000+,https://www.jobsohio.com/newsroom/news-press/nestle-purina-petcare-will-build-a-new-factory-in-ohio-to-meet-growing-pet-food-demand,2021,B,no,"Nestlé Purina PetCare (St. Louis, MO) is a wholly owned division of Nestlé S.A. of Vevey, Switzerland, which employs roughly 270,000-275,000 people; the JobsOhio release says Nestlé alone had 3,300 Ohio employees when it announced the $550M Williamsburg Township plant. The EDGAR match is the legacy Ralston Purina registrant, not a current filer."
EIN:134994650,JPMORGAN CHASE BANK NA,134994650,COLUMBUS,OH,,5900000,2,2019 2023,business,0001669574,"Warehouse Funding Avery Point VII, LLC",DIFFERENT NAME: EIN reused or a parent/former filer; confirm before using,DE,MA,301571,302478,293723,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NJ,,,,,,business,JPMorgan Chase & Co.,NY,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,5000+,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,2019,A,no,"JPMorgan Chase Bank, N.A. (Columbus-chartered) is the main bank subsidiary of JPMorgan Chase & Co., New York; the FY2019 10-K reports headcount of 256,981 and JobsOhio's 2018 release puts its central Ohio workforce at 19,200. The EDGAR match to 'Warehouse Funding Avery Point VII' is a trust filing under the bank's EIN, not the parent."
NAME:british airways,BRITISH AIRWAYS PLC,,,,,5681149,1,2024,business,,,,,,,,,,,,,,,,business,"International Consolidated Airlines Group, S.A. (IAG)",United Kingdom,https://en.wikipedia.org/wiki/International_Airlines_Group,5000+,https://en.wikipedia.org/wiki/International_Airlines_Group,2024,C,no,"British Airways has been a wholly owned subsidiary of IAG since 2011; IAG is registered in Madrid, Spain with corporate headquarters in London and about 76,000 employees. The FY2024 payment is an Air Service Restoration Program route incentive for the CVG-London Heathrow flight that began June 2023, not a site project. Graded C: Wikipedia is the only source."
EIN:814690065,YORKVILLE INTERMODAL TERMINALS LLC,814690065,ALIQUIPPA,PA,,5200000,3,2018 2023 2024,business,,,,,,,,,,,Yorkville Intermodal Terminals LLC*,Revitalization Grant; Revitalization Grant Phase II,0,Other,5200000,site_development,Yorkville Intermodal Terminals LLC (Charles J. Betters and Victor DiGeronimo),PA,https://www.dln.com/newcorporations/details/ref_index/116965,<100,https://www.timesleaderonline.com/news/local-news/2017/05/yorkville-officials-brainstorm-ideas-to-create-growth/,2018,D,no,"Project LLC formed December 2016 (Ohio charter 3965739) by Aliquippa, PA developer Charles J. Betters (C.J. Betters Enterprises) with Cleveland's Victor DiGeronimo (Independence Excavating) to buy and clean up the former Wheeling-Pittsburgh Steel mill in Yorkville for a barge terminal; a 2024 Jefferson County Port Authority report still calls it an ownership group marketing the site. The LLC itself has no staff; the owners' companies are private and no source gives their size, so the bucket reflects the LLC only."
EIN:341015620,GREAT LAKES CHEESE CO INC,341015620,HIRAM,OH,,5100000,2,2020 2021,business,,,,,,2372,3507,4879,GREAT LAKES CHEESE CO,OH,"Great Lakes Cheese Co., Inc.",Economic Development Grant,671,Food Sciences and Agriculture,5100000,business,"Great Lakes Cheese Co., Inc.",OH,https://www.greatlakescheese.com/,500-4999,https://www.geaugamapleleaf.com/news/john-epprecht-describes-huge-expansion-of-glc-operation/,2020,C,yes,"Privately held, Epprecht family-controlled cheese packer headquartered in Hiram with employees holding a 20% ESOP stake; a February 2020 presentation put the Hiram plant at more than 500 workers and the new headquarters at 253, its Form 5500 counted 3,507 participants in 2019 (4,879 by 2023), and JobsOhio shows 671 retained jobs on the $5.1M grant. Company-wide it sat under 5,000 in 2020-2021 but is close to that line now."
