recipient_id,name,total_cash,first_rule,first_emp_bucket,second_emp_bucket,first_parent_hq_state,second_parent_hq_state,first_recipient_class,second_recipient_class,first_size,second_size,second_parent,second_notes
EIN:251924400,MCG FAMILY OF PENNSYLVANIA LIMITED PARTNERSHIP,100000,research,100-499,<100,PA,PA,business,business,small,small,MCG Family of Pennsylvania Limited Partnership (unresolved),"Nothing found in EDGAR, Google News, ProPublica or JobsOhio's sitemap; the name suggests a Pennsylvania family holding or real-estate partnership, so it may belong in site_development. No Form 5500 or JobsOhio project report; state and bucket are guesses from the name."
EIN:475146583,OHIO AWNING GRANT LENDER INC,300000,Rule R2,100-499,<100,GA,OH,business,site_development,small,small,"Unresolved developer of the Ohio Awning building project, Cleveland","A 'Grant Lender' entity is a financing vehicle for a single redevelopment, likely the Ohio Awning building in Cleveland; news results point only to Tremont apartment projects around 2018-2020 and the developer was not confirmed. The Form 5500 sponsor on this EIN (Loyal Health, Inc) looks like EIN reuse and was ignored; size bucket is a guess."
EIN:471253460,NASDAQ Entrepreneurial Center Inc,10000,Rule R2,<100,<100,MD,CA,business,nonprofit,small,small,The Nasdaq Entrepreneurial Center Inc,"IRS record shows a 501(c)(3) public charity (ruling 2014) founded by Nasdaq; the grant-year address was San Francisco, CA, and the current IRS address is Rockville, MD. Form 5500 counts of 34 to 42 put it under 100 staff."
EIN:800298170,WELLPET LLC,200000,research,500-4999,100-499,PA,MA,business,business,large,small,WellPet LLC,"In the 2020 grant year WellPet was owned by Berwind Corporation, a Philadelphia private holding company, which sold it to Clearlake Capital in Nov. 2020 (https://news.google.com/rss/search?q=WellPet+Berwind); resolved to the operating company. Headquarters from the current Burlington, MA contact page (grant-year HQ was also in Massachusetts); if Berwind is treated as the parent, the bucket would likely be 500-4999."
EIN:141831492,STONECROP TECHNOLOGIES LLC,40000,research,100-499,100-499,CA,MA,business,business,small,small,Stonecrop Technologies LLC,"Wireless-network deployment and logistics firm (since 2001); archived site lists corporate headquarters at 80 Washington Street, Norwell, MA, with the Grove City, OH site a logistics operation. No parent found; the 2019 Form 5500 count of 296 includes former employees with balances, so the grant-year HQ (checked on a 2015 archive) could have moved."
EIN:472532936,NAVARRE FACILITY LLC,850000,research,5000+,<100,TN,OH,site_development,site_development,large,small,Navarre Facility LLC,"Likely the landlord LLC for the build-to-suit truck-axle plant that Hendrickson USA, LLC (a Boler Company unit, Illinois) announced in Navarre, Stark County, in July 2019 with 300 jobs; the link by name and the developer behind the LLC were not confirmed. If the LLC is Hendrickson's own, the parent would be The Boler Company, whose size was not checked."
EIN:314270490,THE OHIO MANUFACTURERS' ASSOCIATION,30000,Rule R2,<100,<100,OH,OH,business,nonprofit,small,small,The Ohio Manufacturers' Association,501(c)(6) trade association in Columbus; its 2019 Form 990 reports 16 employees (Form 5500 shows 17 participants). Tagged business by the auto-classifier but it is a nonprofit.
EIN:800810911,Tower Partners LLC,300000,Rule R4,,,OH,NY,site_development,site_development,unknown,unknown,Dunkirk Realty (Albert Macanian),"Ohio LLC managed by Albert Macanian of Plainview, NY (2012 Form D, $6.44M raised) that bought Dayton's Kettering Tower in 2012 for $6.4M per Wikipedia; sold to Stratacache in 2019. The 1,750 retained jobs are building tenants, not the owner's staff; no developer headcount found, so <100 is a best guess."
EIN:010499341,MODULA INC,225000,Rule R2,100-499,500-4999,ME,Italy,business,business,small,large,Modula S.p.A.,"Modula Inc. is the US arm of Italy-based Modula (chairman Franco Stefani); the June 2019 JobsOhio release says more than 600 people employed worldwide and 2018 sales over $150M, and modula.us now cites about 1,000 employees. Form 5500 shows 123 US participants in 2019."
EIN:474912935,E1 DIGITAL DIRECT INC,0,research,100-499,<100,OH,OH,business,business,small,small,"E1 Digital Direct, Inc.","Boardman, OH company with a $70,000 Workforce Grant commitment, zero jobs retained and no cash paid in the grant years; no Form 5500 filing. News searches and guessed domains found nothing, so <100 is a best guess from the zero retained jobs."
EIN:274011682,IRG MORAINE LLC,656000,research,<100,100-499,CA,CA,site_development,site_development,small,small,"Industrial Realty Group, LLC","Project LLC for IRG's spec development at the former GM Moraine plant; IRG is headquartered in Los Angeles with management offices in eight cities and 150+ projects in 31 states, and its Ohio arm IRG Realty Advisors is in Richfield. No headcount found; 100-499 is inferred from that office footprint."
EIN:262093343,WIKA SENSOR TECHNOLOGY LP,75000,Rule R1,<100,5000+,OH,Germany,business,business,small,large,WIKA Alexander Wiegand SE & Co. KG,"Schedule I lists the recipient as WIKA Sensor Technology LP at WIKA's US base in Lawrenceville, GA, and a 2024 headline names WIKA Sensor Technology; Wikipedia gives WIKA group about 11,200 employees in FY2024, HQ Klingenberg, Germany. JobsOhio logged it as an Inclusion Grant with 9 jobs retained, which conflicts with the group's size; the Ohio operation itself appears small."
EIN:201783964,INFOTRUST LLC,60000,Rule R2,100-499,<100,OH,OH,business,business,small,small,"InfoTrust, LLC","JobsOhio's Feb 2019 release lists 36 retained jobs at the Blue Ash headquarters with 60 committed; Form 5500 shows 38 participants in 2019, rising to 123 by 2023, so the company likely crossed 100 after the 2020 grant. Independent; no parent found."
EIN:133160717,WILLIAMS LEA INC,700000,Rule R3,500-4999,5000+,WV,United Kingdom,business,business,large,large,Williams Lea (Williams Lea Tag group),"JobsOhio's 2019 release says Williams Lea Inc. is part of U.K.-based Williams Lea Tag with 10,000 employees worldwide; the group was owned by private equity firm Advent International in the grant years (general knowledge, not verified here). The EDGAR match to Donnelley Enterprise Solutions is a different filer that shares the EIN, likely from an acquired business, and was not relied on."
EIN:630139000,MCWANE INC,212704,Rule R3,500-4999,5000+,AL,AL,business,business,large,large,"McWane, Inc.","Privately held McWane is based in Birmingham, AL, where it was founded in 1921. Wikipedia lists about 6,000 employees; the company's Form 5500 shows 5,266 participants in 2023, and JobsOhio's 2022 release lists 522 retained jobs at the Coshocton ductile pipe plant."
EIN:810608730,THE HILSINGER COMPANY PARENT LLC,350000,research,100-499,500-4999,MA,MA,business,business,small,large,The Hilsinger Company (Hilco Vision),"The Hilsinger Company does business as Hilco Vision, based in Plainville, MA; JobsOhio's 2021 release covers its 200-job Fairfield plant. Its U.S. Form 5500 shows 482 participants in 2023, and with the Ohio plant and overseas units (news reports of German and other acquisitions), worldwide staff is likely over 500. No exact figure found; the 'Parent LLC' name points to a holding or investor structure (Houlihan Lokey advised on a 2023 deal) that was not confirmed."
EIN:223286312,TEKNI-PLEX INC,440000,Rule R3,500-4999,5000+,PA,PA,business,business,large,large,"Tekni-Plex, Inc. (TekniPlex)","The company site says TekniPlex is headquartered in Wayne, PA and employs 9,000 people worldwide; the U.S. Form 5500 alone shows 2,111 participants in 2015 and 3,245 in 2023. Owned by Genstar Capital since Oct 2017 (news reports), so the 2015 grant predates that owner; the 2015 worldwide count was not found."
EIN:310792103,BRAUN INDUSTRIES INC,751000,research,100-499,500-4999,OH,Canada,business,business,small,large,Demers Braun Crestline (Demers Braun Ambulance),"Braun merged in Feb 2018 into Quebec-based Demers Braun, owned by PE firm Clearspring Capital Partners with CDPQ; the group had more than 1,100 employees in April 2021. The FY2015 grant predates the merger, when Braun was a standalone Van Wert company (Form 5500: 244 participants), so that year alone would be OH and 100-499."
EIN:340654854,CHALFANT MANUFACTURING COMPANY,175000,Rule R2,<100,500-4999,OH,Germany,business,business,small,large,OBO Bettermann Holding GmbH & Co. KG,"Chalfant Manufacturing (cable tray, not the Cleveland dock-seal maker of the same name) is a member of the family-owned OBO Bettermann Group of Menden, Germany; a 'Chalfant OBO Bettermann Group' trademark filed from Brunswick in 2016 shows the tie predates the grant. German Wikipedia gives about 4,000 group employees in 2020, near the 5000+ line."
EIN:831310303,RKDS,400000,research,<100,5000+,IL,IL,business,business,small,large,Rural King Supply,"RKDS LLC (Rural King Distributing) is at Rural King's 4216 DeWitt Ave distribution center in Mattoon, Ill.; JobsOhio's release describes a family-owned retailer with 130+ stores and over 700 non-retail employees in southeast Ohio, and Wikipedia gives 6,400 employees in 2021. The grant matches the Pike County (Waverly) import facility revitalization."
EIN:391684871,CLARIOS LLC,300000,Rule R3,500-4999,5000+,WI,WI,business,business,large,large,Clarios International Inc.,"Clarios LLC (the Holland/Toledo battery plant) belongs to Milwaukee-based Clarios, whose June 2022 S-1/A reports 16,655 employees worldwide as of March 31, 2022. It is owned by PE firm Brookfield Business Partners with CDPQ, which bought it from Johnson Controls in 2019; the IPO never went ahead."
EIN:340714532,ASM INTERNATIONAL,475000,research,100-499,<100,OH,OH,nonprofit,nonprofit,small,small,ASM International,"ASM International (American Society for Metals) is a 501(c)(3) professional society headquartered at Materials Park, Novelty/Russell Township, OH, per ProPublica; Wikipedia gives 50-100 staff and its Form 5500 shows 63 participants in 2019 (280 in 2015). The 990 PDFs were blocked to automated fetch, so the IRS employee line was not read."
EIN:311574034,LUBRICATION SPECIALTIES INC,75000,research,<100,100-499,OH,IL,business,business,small,small,Gold Eagle Company,"Lubrication Specialties' own site calls it a wholly owned subsidiary of Gold Eagle Company (family-owned, Chicago, founded 1932) with over 60 employees in Mt. Gilead, OH; JobsOhio metrics list 37 retained. No Gold Eagle headcount was found, so the 100-499 bucket is an estimate from the combined operations; the acquisition date was not confirmed but the ownership statement predates the 2023 grant."
EIN:311314876,STEINER EOPTICS INC,25000,Rule R2,<100,500-4999,OH,Luxembourg,business,business,small,large,Beretta Holding S.A.,"JobsOhio 2018 story: Steiner eOptics is a subsidiary of German Steiner, a member of Beretta Holding; Wikipedia lists Beretta Holding in Luxembourg with 3,388 employees (2021). The recipient's own Form 5500 shows 70 participants in 2019; the Beretta group figure is near the 5000 line and the 2019 figure was not found."
