why_listed,company,paid,size,ohio_hq,hq_where,confidence,basis,source,your_answer
Paid $1M or more,"International Consolidated Airlines Group, S.A. (IAG)",5681149,Large,No,United Kingdom,Best guess,"British Airways has been a wholly owned subsidiary of IAG since 2011; IAG is registered in Madrid, Spain with corporate headquarters in London and about 76,000 employees. The FY2024 payment is an Air Service Restoration Program route incentive for the CVG-London Heathrow flight that began June 2023,",https://en.wikipedia.org/wiki/International_Airlines_Group,
Paid $1M or more,"Great Lakes Cheese Co., Inc.",5100000,Large,Yes,OH,Best guess,"Privately held, Epprecht family-controlled cheese packer headquartered in Hiram with employees holding a 20% ESOP stake; a February 2020 presentation put the Hiram plant at more than 500 workers and the new headquarters at 253, its Form 5500 counted 3,507 participants in 2019 (4,879 by 2023), and Jo",https://www.geaugamapleleaf.com/news/john-epprecht-describes-huge-expansion-of-glc-operation/,
Paid $1M or more,Midmark Corporation,5000000,Large,Yes,OH,High,"Private, family-controlled medical and dental equipment maker founded in Versailles in 1915 with corporate offices in Miamisburg (Dayton area); the JobsOhio release on the Versailles expansion cites nearly 2,000 employees worldwide, 1,002 retained and 99 new jobs, and its Form 5500 shows 1,678 parti",https://www.jobsohio.com/newsroom/news-press/midmark-expands-its-healthcare-manufacturing-footprint-in-ohio,
Paid $1M or more,Ensemble Health Partners (majority owned by Golden Gate Capital from August 2019; founded by Bon Secours Mercy Health),4919985,Large,Yes,OH,High,"Cincinnati (Blue Ash) hospital revenue-cycle firm founded 2014 by Mercy Health; Golden Gate Capital took a majority stake on August 1, 2019 and the September 2021 S-1 reports 6,492 full-time employees as of June 30, 2021 with principal offices at 11511 Reed Hartman Highway, Cincinnati. At the first ",https://www.sec.gov/Archives/edgar/data/1865597/000119312521286798/d132904ds1.htm,
Paid $1M or more,Fiat Chrysler Automobiles N.V. (Stellantis N.V. from Jan 2021),4540017,Large,No,United Kingdom,High,"FCA N.V. 20-F for 2019 reports 191,752 employees, incorporated in the Netherlands with principal executive offices in London. FCA US LLC (Toledo Jeep plants) became a Stellantis N.V. (Netherlands) subsidiary on Jan 16, 2021, which covers the FY2021 grant.",https://www.sec.gov/Archives/edgar/data/1605484/000160548420000011/fca20191231annualreportand.htm,
Paid $1M or more,JSW Steel Ltd,4437946,Large,No,India,High,"JSW Steel USA Ohio is the former Acero Junction mill in Mingo Junction, bought in 2018 by JSW Steel Ltd of Mumbai (JSW Group), which reported well over 10,000 employees through the grant years. Form 5500 shows 333 to 345 participants at the Ohio entity alone; JobsOhio counted 400 retained jobs.",https://en.wikipedia.org/wiki/JSW_Steel,
Paid $1M or more,BlueScope Steel Ltd,4000000,Large,No,Australia,Best guess,"North Star BlueScope Steel in Delta became wholly owned by Melbourne-based BlueScope Steel after it bought Cargill's 50 percent in 2015; BlueScope reported roughly 14,000 employees in FY2020 and 16,500 in 2024. Form 5500 shows 477 to 656 participants at the Delta mill alone.",https://en.wikipedia.org/wiki/BlueScope,
Paid $1M or more,"Amazon.com, Inc.",3935025,Large,No,WA,High,"Amazon.com Services LLC is the operating subsidiary of Amazon.com, Inc. (Seattle), which reported about 1,541,000 full- and part-time employees at Dec 31, 2022 in its 10-K. The Form 5500 plan under this EIN had 1,295,394 participants in 2023.",https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,
Paid $1M or more,Lam Research Corporation,3882369,Large,No,CA,High,"Silfex is a wholly owned subsidiary of Lam Research (Fremont, CA), whose FY2019 10-K reports approximately 10,700 regular employees. Silfex has operated in Eaton since 1971 and expanded into Springfield, but the parent is Californian.",https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/lrcx10k2019document.htm,
Paid $1M or more,"Novagard Solutions, Inc.",3876963,Small,Yes,OH,High,"Privately held, woman-owned silicone maker with a single 200,000 sq ft Cleveland site; JobsOhio counted 113 retained jobs and 50 new jobs tied to the R&D Center Grant, and the company cites 45 percent workforce growth from 2018 to 2022. No exact total headcount was published, but one site with rough",https://novagard.com/about/,
Paid $1M or more,Libbey Glass LLC (formerly Libbey Inc.),3750000,Large,Yes,OH,High,"Libbey's last 10-K (2019) reports 5,872 employees, about 70 percent outside the US; the company went through Chapter 11 in 2020 and emerged privately held by its former lenders as Libbey Glass LLC, still headquartered in Toledo. Founded in 1818 in Massachusetts and moved to Toledo in 1888; Form 5500",https://www.sec.gov/Archives/edgar/data/902274/000143774920003729/lby20191231_10k.htm,
Paid $1M or more,"GOJO Industries, Inc.",3500000,Large,Yes,OH,Best guess,"Family-owned Purell maker founded in Akron in 1946 and headquartered there; Wooster is a plant. Roughly 2,500 employees, consistent with Form 5500 participant counts of 2,086 (2019) and 2,373 (2023); Clorox agreed to buy GOJO in January 2026, after the grant years. Graded C: Wikipedia is the only so",https://en.wikipedia.org/wiki/GOJO_Industries,
Paid $1M or more,"Pratt Industries, Inc. (Anthony Pratt / Visy group)",3350000,Large,No,GA,Best guess,"Pratt Paper (OH) LLC is the Wapakoneta recycled-paper mill of Pratt Industries, the Conyers, Georgia US arm of Anthony Pratt's privately held Visy group of Melbourne, Australia; the combined group reported about 11,000 employees in 2020. Pratt Industries alone does not publish a headcount, but with ",https://en.wikipedia.org/wiki/Visy_Industries,
Paid $1M or more,"Paycor, Inc. (Paycor HCM, Inc.)",3346355,Large,Yes,OH,High,"Paycor's first 10-K (FY ended June 30, 2021) reports 2,067 associates and Cincinnati headquarters; Form 5500 shows 2,069 participants in 2019. During the FY2020 grant Paycor was majority owned by private equity firm Apax Partners (acquired Nov 2018), and it went public in July 2021.",https://www.sec.gov/Archives/edgar/data/1839439/000183943921000011/pycr-20210630.htm,
Paid $1M or more,"Breeze Aviation Group, Inc.",3318587,Large,No,UT,Best guess,"Breeze Airways, founded by David Neeleman in 2018 and based in Cottonwood Heights, Utah, began flying in May 2021; Form 5500 shows 1,025 plan participants in 2023 and the airline reports about 2,262 employees in 2026. The grants are JobsOhio Air Service Restoration payments for routes at Akron-Canto",https://en.wikipedia.org/wiki/Breeze_Airways,
Paid $1M or more,American Nitrile LLC,3303561,Small,Yes,OH,Best guess,"Privately held glove startup founded in Grove City in 2021 by Jacob Block, financed with $105 million from Orion Infrastructure Capital, and the first pre-revenue company to get a JobsOhio grant ($3.5 million committed). It planned 400 jobs, but Form 5500 shows only 33 plan participants in 2023, so ",https://abc6onyourside.com/news/local/american-nitrile-plant-ppe-factory-produce-medical-gloves-bring-hundreds-of-jobs-to-grove-city-central-ohio-founder-jacob-block-3-9-2022,
Paid $1M or more,Dana Incorporated,3250000,Large,Yes,OH,Best guess,"Dana Limited is a subsidiary of Dana Incorporated (NYSE: DAN), headquartered in Maumee, whose 2018 10-K reports approximately 30,900 employees. The 10-K traces the business to 1904 but does not name the founding city.","Wikipedia: ""the company employs nearly 28,000 people in 33 countries"" (Dana Incorporated, Fortune 500, NYSE: DAN)",
Paid $1M or more,ALTIVIA Corporation,3100000,Small,No,TX,Best guess,"Altivia Petrochemicals is a unit of privately owned ALTIVIA of Houston (founded 1986), which bought the Haverhill phenol plant in 2015; JobsOhio counted 137 retained jobs there and LinkedIn lists about 220 employees company-wide. Form 5500 shows 418 participants at the petrochemicals unit in 2023, s",https://www.jobsohio.com/newsroom/news-press/altivia-expands-for-a-second-time-at-ohio-facility,
Paid $1M or more,"Total Quality Logistics, LLC",3050000,Large,Yes,OH,High,"Privately held freight brokerage founded in Cincinnati in 1997 by Ken Oaks and headquartered in Union Township, Clermont County; JobsOhio's 2022 release puts headcount over 9,000 after 49 percent growth in 2021, implying roughly 6,000 in 2020. JobsOhio counted 2,623 retained Ohio jobs.",https://www.jobsohio.com/newsroom/ohio-success/total-quality-logistics-continues-to-invest-millions-in-ohio,
Paid $1M or more,"Medpace Holdings, Inc.",3000000,Large,Yes,OH,High,"Medpace's 2019 10-K reports approximately 3,500 employees worldwide and Cincinnati headquarters; founded there in 1992 by August Troendle. Form 5500 shows 2,189 participants in 2019 and 3,462 in 2023, and JobsOhio counted 1,916 retained Ohio jobs.",https://www.sec.gov/Archives/edgar/data/1668397/000156459020006385/medp-10k_20191231.htm,
Paid $1M or more,"Nippon Sheet Glass Co., Ltd. (NSG Group)",3000000,Large,No,Japan,Best guess,"NSG Glass North America Inc. is the U.S. subsidiary that built the Luckey/Troy Township float and TCO glass plant (announced Oct 2018, opened Nov 2020, 125-150 jobs) to supply First Solar. Parent NSG Group is Tokyo-based with 25,356 employees as of March 2024 (higher, around 27,000, in the 2019-2021",https://en.wikipedia.org/wiki/Nippon_Sheet_Glass,
Paid $1M or more,United States Steel Corp. and Kobe Steel Ltd. (50/50 joint venture),3000000,Large,No,PA,High,"PRO-TEC is a 50/50 JV of U.S. Steel (Pittsburgh, PA) and Kobe Steel (Kobe, Japan) per U.S. Steel's SEC exhibit on the $400M Leipsic galvanizing line that started up in 2019; neither partner alone controls, so PA is the U.S. partner's HQ and Japan is the other half. Both parents have tens of thousand",https://en.wikipedia.org/wiki/U.S._Steel,
Paid $1M or more,Canon Inc.,2700001,Large,No,Japan,Best guess,"Canon Inc. (Tokyo, about 184,000 employees in 2021) bought 70% of QED on Oct 31, 2019 and consolidates it, covering the 2021 and 2022 grants; the 2018 grant predates the sale, when QED was founder-owned with about 175 employees. QED itself was founded in Mayfield Village in 2006 by Hiroyuki Fujita, ",https://en.wikipedia.org/wiki/Canon_Inc.,
Paid $1M or more,Pella Corporation,2600000,Large,No,IA,Best guess,"Privately held window and door maker founded 1925 in Pella, Iowa, with about 7,000 employees (2019) to 10,000 nationwide; its own Form 5500 plan shows 8,521 participants in 2019 and 11,593 in 2023, consistent with 5000+. The grant supported a new Troy, Ohio manufacturing plant. Graded C: Wikipedia i",https://en.wikipedia.org/wiki/Pella_Corporation,
Paid $1M or more,"Hyland Software, Inc. (majority owned by Thoma Bravo)",2500001,Large,Yes,OH,High,"Founded 1991 and headquartered in Westlake; private equity firm Thoma Bravo has been majority owner since 2007. Form 5500 participants were 3,242 in 2019 and Top Workplaces lists about 3,500 US employees, so the company was under 5,000 in the 2018-2020 grant years (it reached roughly 5,000 by 2023, ",https://topworkplaces.com/company/hyland-software-inc/,
Paid $1M or more,Abbott Laboratories,2500000,Large,No,IL,High,"Public company headquartered in Abbott Park, Illinois; its FY2023 10-K reports approximately 114,000 employees, 69% outside the U.S. The Ohio grants relate to the Columbus nutrition plant (428 retained jobs per JobsOhio metrics).",https://www.sec.gov/Archives/edgar/data/1800/000162828024005348/abt-20231231.htm,
Paid $1M or more,Sofidel S.p.A. (Sofidel Group; Stefani and Lazzareschi families),2400000,Large,No,Italy,Best guess,"Sofidel America Corp. is the U.S. arm of the family-owned Sofidel Group of Porcari, Italy, which had more than 6,400 employees around 2019 (6,900 by 2023); the Circleville tissue plant opened Oct 2018 as the group's largest. The U.S. entity's own Form 5500 plan grew from 347 participants (2015) to 1",https://en.wikipedia.org/wiki/Sofidel_Group,
Paid $1M or more,AMG Advanced Metallurgical Group N.V.,2400000,Large,No,Netherlands,High,"AMG Vanadium LLC (Cambridge, OH, about 155 employees) is a wholly owned subsidiary of Amsterdam-listed AMG Advanced Metallurgical Group N.V., whose 2020 annual report states approximately 3,000 employees worldwide. The grant supported the $300M second plant in Zanesville.",https://www.globenewswire.com/en/news-release/2021/03/11/2191615/0/en/AMG-Advanced-Metallurgical-Group-N-V-Publishes-2020-Annual-Report.html,
Paid $1M or more,"Sarepta Therapeutics, Inc.",2348087,Large,No,MA,High,"Public biotech headquartered in Cambridge, MA (FY2022 10-K); 10-K-derived headcounts were 840 (2021), 1,162 (2022) and 1,314 (2023), with 575 Form 5500 participants in 2019 and 1,415 in 2023. The grants supported its Columbus gene therapy facilities (138 retained jobs).",https://stockanalysis.com/stocks/srpt/employees/,
Paid $1M or more,"Babcock & Wilcox Enterprises, Inc.",2272675,Large,Yes,OH,High,"NYSE-listed B&W moved its headquarters from Charlotte to Akron on Dec 30, 2019 (the Charlotte address in the 990 is the old one), and its FY2020 10-K reports approximately 2,100 employees worldwide. Form 5500 participants (7,259 in 2019) run far above headcount because they include retirees and form",https://www.sec.gov/Archives/edgar/data/1630805/000163080521000004/bw-20201231.htm,
Paid $1M or more,"JAC Products, Inc. (privately held)",2270325,Large,No,MI,High,"Private automotive roof-rack maker headquartered in Saline, Michigan (technical center in Pontiac) with about 1,500 North American employees in 2015 and 1,910 Form 5500 participants in 2019; the Ohio project is a Napoleon, OH plant. Ownership has been reported as venture/private capital in the past,",https://archive.businessviewmagazine.com/jac-products-inc/,
Paid $1M or more,Crown Equipment Corporation (Dicke family),2229000,Large,Yes,OH,Best guess,"Family-owned lift truck maker founded 1945 in New Bremen, Ohio, with about 20,900 employees worldwide today and 11,737 Form 5500 participants in 2019; JobsOhio counts 4,348 retained Ohio jobs. Fourth generation of the Dicke family still leads it. Graded C: Wikipedia is the only source.",https://en.wikipedia.org/wiki/Crown_Equipment_Corporation,
Paid $1M or more,Xellia Pharmaceuticals ApS (wholly owned by Novo Holdings A/S),2200000,Large,No,Denmark,High,"Copenhagen-based anti-infectives maker with over 1,800 employees globally (2021) and more than 300 at the Bedford, Ohio plant it bought from Boehringer Ingelheim in 2015; wholly owned since 2013 by Novo Holdings A/S, the Novo Nordisk Foundation's investment arm. Form 5500 participants at the U.S. en",https://www.biospace.com/xellia-pharmaceuticals-cleveland-ohio-manufacturing-facility-commercially-operational-for-production-of-key-anti-infective-drug-products-for-us-hospitals-and-patients,
Paid $1M or more,"Stanley Black & Decker, Inc. (via Consolidated Aerospace Manufacturing; CAM was Tinicum-owned until Feb 2020)",2026129,Large,No,CT,High,"Voss was bought from its ESOP in Sept 2014 by Consolidated Aerospace Manufacturing (CAM), a Tinicum private equity portfolio company, which Stanley Black & Decker (New Britain, CT; about 53,100 employees) acquired for $1.46B on Feb 24, 2020, inside the FY2020 grant year. During the FY2019 grant the ",https://www.sec.gov/Archives/edgar/data/93556/000009355620000012/swk-q12020.htm,
Paid $1M or more,Topre Corporation,2025000,Large,No,Japan,Best guess,"Topre America is the Springfield subsidiary of Tokyo-listed Topre Corporation; the company profile lists 6,860 consolidated employees as of March 2026, and the Springfield plant alone had 920 Form 5500 participants in 2019 and 580 retained jobs. A grant-year (2018-2022) consolidated figure was not f",https://www.topre.co.jp/en/company/profile.html,
Paid $1M or more,"Loc Performance Products, LLC",2007102,Large,No,MI,High,"Plymouth, Michigan defense and ag-track maker with more than 980 employees (Feb 2023 release) that bought Continental's St. Marys plant in Dec 2021 and committed 250 new jobs plus 450 retained. The EIN maps to CP Prime Holdings, L.P., a Form D filer c/o The Carlyle Group (sec.gov CIK 1837752), so th",https://www.prnewswire.com/news-releases/loc-performance-adds-capacity-for-trackman-in-st-marys-facility-301764105.html,
Paid $1M or more,Nanogate SE,2000000,Large,No,Germany,Best guess,"Nanogate North America (Nanogate Jay Systems, the former Jay Plastics of Mansfield) was the US arm of Nanogate SE of Goettelborn, Germany, which had 1,209 employees in 2017 and about 400 in Mansfield; the $2 million JobsOhio grant funded a Mansfield R&D center announced April 2018. Nanogate SE filed",https://de.wikipedia.org/wiki/Nanogate,
Paid $1M or more,Swagelok Company,2000000,Large,Yes,OH,High,"Swagelok Manufacturing Company LLC is a unit of privately held Swagelok Company of Solon, founded in Cleveland in 1947, with over 5,700 associates; JobsOhio's own report shows 5,237 jobs retained on this grant. The company is private, so no SEC figure exists.","Form 5500 participants 5,777 (2019) for sponsor Swagelok Company; https://en.wikipedia.org/wiki/Swagelok",
Paid $1M or more,Grupo Plastilene S.A.S.,2000000,Large,No,Colombia,Best guess,"Plastilene Inc. is the first US operation of Bogota-based Grupo Plastilene, which runs plants in Colombia, Ecuador and Guatemala and committed 58 R&D jobs and about $41-48 million in Washington Court House. No source giving the group's worldwide headcount was found (company site, JobsOhio release, W",https://www.jobsohio.com/newsroom/news-press/world-leader-in-food-packaging-to-open-rd-center-establish-u-s-operations-in-washington-court-house; https://en.grupoplastilene.com/plastilene-group-opened-production-facility-in-usa/,
Paid $1M or more,Union Home Mortgage Corp.,2000000,Large,Yes,OH,High,"Privately held Strongsville mortgage lender with 1,300+ employees in July 2020 and 1,590 plan participants in 2023; the Revitalization Grant supported reuse of a vacant Strongsville building as its headquarters with 450 new jobs promised. Company materials describe it as Strongsville-based but the f",https://northeastohioregion.com/news/union-home-mortgage-to-expand/,
Paid $1M or more,Marathon Petroleum Corporation,1950000,Large,Yes,OH,Best guess,"Marathon Petroleum (Findlay, OH) 10-K reports 60,350 employees at Dec. 31, 2018, including 40,230 in the Speedway retail segment. Speedway was sold to 7-Eleven (Irving, TX) on May 14, 2021, inside the last grant year, so the FY2021 payment may have landed after the sale; JobsOhio metrics show 1,175 ","Marathon Petroleum is a Fortune 500 refiner headquartered in Findlay, Ohio, with tens of thousands of employees; well-established public company",
Paid $1M or more,"UGN, Inc. (joint venture of Autoneum Holding AG and Nihon Tokushu Toryo)",1916261,Large,No,IL,High,"UGN is a Tinley Park, Illinois acoustic-parts maker formed in 1986 as a partnership of Nittoku (Japan) and what is now Autoneum (Switzerland); neither partner is treated as sole parent, and Autoneum alone has about 16,000 employees. Grants supported the Monroe, Ohio plant (opened 2015, 111-job expan","Form 5500 participants 1,886 (2019) for sponsor UGN, Inc.; https://ugn.com/about/",
Paid $1M or more,STERIS plc,1850000,Large,No,Ireland,High,"Steris Corporation of Mentor is the US operating subsidiary of SEC registrant STERIS plc, which reported roughly 12,000-13,000 employees in its FY2016-FY2020 10-Ks; the parent was UK-domiciled from 2015 and Ireland-domiciled from 2019 after tax inversions, while executive operations stayed in Mentor",https://en.wikipedia.org/wiki/Steris; https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001757898&type=10-K,
Paid $1M or more,"Otsuka Holdings Co., Ltd.",1850000,Large,No,Japan,Best guess,"Pharmavite (Nature Made) of West Hills, California has been owned by Tokyo-based Otsuka since 1989; its US plan is sponsored by Otsuka America with 4,912 participants and the Otsuka group employs tens of thousands worldwide. The grant supported the $200 million New Albany gummy plant begun in 2023.","Form 5500 participants 4,912 (2023) for sponsor Otsuka America, Inc.; https://en.wikipedia.org/wiki/Otsuka_Holdings",
Paid $1M or more,Alkermes plc,1800000,Large,No,Ireland,High,"Alkermes Inc. (Wilmington plant) is the US subsidiary of Dublin-based SEC registrant Alkermes plc, whose 10-Ks report about 2,000-2,300 employees across 2017-2021; the EDGAR HQ state MA reflects the Waltham US base. Founded 1987 in Massachusetts.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001520262&type=10-K,
Paid $1M or more,"COTSWORKS, Inc.",1800000,Small,Yes,OH,High,"Highland Heights fiber-optic maker, an EDGAR Form D filer, with 105-108 plan participants and 73 jobs retained, so it sits at the line between <100 and 100-499. The company was acquired by Moog Inc. (NY) at a date not verified here, which may postdate the 2024 grant year.","Form 5500 participants 105 (2019) and 108 (2023) for sponsor COTSWORKS, Inc.",
Paid $1M or more,Bread Financial Holdings (formerly Alliance Data Systems),1750000,Large,Yes,OH,High,"ADS Alliance Data Systems is the Columbus card-services unit of Alliance Data, renamed Bread Financial in 2022, whose 10-Ks show roughly 20,000 employees in 2017 and about 7,500 in 2022. Headquarters was Plano, Texas at the 2017 grant and moved to Columbus in 2019, so the OH label applies to the 202","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001101215&type=10-K; Form 5500 participants 20,130 (2019)",
Paid $1M or more,"Belcan, LLC",1750000,Large,Yes,OH,High,"Cincinnati (Blue Ash) engineering services firm founded 1958 with about 10,000 employees, owned by private-equity firm AE Industrial Partners from 2015 until Cognizant bought it in August 2024, after the grant years. Resolved to the operating company per the PE rule.","Form 5500 participants 5,320 (2019) and 8,048 (2023) for sponsor Belcan, LLC; https://en.wikipedia.org/wiki/Belcan",
